   chassis code        years        model                 engine                   power                  torque
0      w123.020  1976 - 1981          200           2.0l m115 i4                    4800                    3000
1      w123.220  1979 - 1985          200           2.0l m102 i4                    5200                    3000
2      w123.280  1980 - 1985         200t           2.0l m102 i4                    5200                    3000
3      w123.120  1976 - 1979         200d   2.0l om615 i4 diesel                    4200                    2400
4      w123.120  1979 - 1985         200d   2.0l om615 i4 diesel                    4400                    2400
5      w123.126  1976 - 1979         220d   2.2l om615 i4 diesel                    4200                    2400
6      w123.023  1975 - 1981          230           2.3l m115 i4                    4800                    3000
7      w123.223  1979 - 1985         230e           2.3l m102 i4                    5100                    3500
8      w123.043  1977 - 1980         230c           2.3l m115 i4                    4800                    3000
9      w123.243  1980 - 1985        230ce           2.3l m102 i4                    5100                    3500
10     w123.083  1978 - 1980         230t           2.3l m115 i4                    4800                    3000
11     w123.283  1980 - 1985        230te           2.3l m102 i4                    5100                    3500
12     w123.123  1976 - 1985         240d   2.4l om616 i4 diesel  4200 from 02 / 79 4400                    2400
13     w123.125  1977 - 1985     240d lwb   2.4l om616 i4 diesel  4200 from 02 / 79 4400                    2400
14     w123.183  1978 - 1986        240td   2.4l om616 i4 diesel  4200 from 02 / 79 4400                    2400
15     w123.026  1975 - 1985          250           2.5l m123 i6  5500 from 09 / 79 5500  3500 from 09 / 79 3500
16     w123.028  1977 - 1985      250 lwb           2.5l m123 i6  5500 from 09 / 79 5500  3500 from 09 / 79 3500
17     w123.086  1978 - 1985          250           2.5l m123 i6  5500 from 09 / 79 5500  3500 from 09 / 79 3500
18     w123.030  1975 - 1981          280           2.8l m110 i6                    5500                    4000
19     w123.033  1975 - 1985         280e           2.8l m110 i6     6000 from 1978 5800  4500 from 09 / 79 4500
20     w123.050  1977 - 1980         280c           2.8l m110 i6                    5500                    4000
21     w123.053  1977 - 1985        280ce           2.8l m110 i6     6000 from 1978 5800  4500 from 09 / 79 4500
22     w123.093  1978 - 1985        280te           2.8l m110 i6     6000 from 1978 5800  4500 from 09 / 79 4500
23     w123.130  1976 - 1985         300d   3.0l om617 i5 diesel  4000 from 09 / 79 4400                    2400
24     w123.132  1977 - 1985     300d lwb   3.0l om617 i5 diesel  4000 from 09 / 79 4400                    2400
25     w123.133  1981 - 1985   300d turbo  3.0l om617a i5 diesel                    4350                    2400
26     w123.150  1977 - 1981        300cd   3.0l om617 i5 diesel  4000 from 09 / 79 4400                    2400
27     w123.153  1981 - 1985  300cd turbo  3.0l om617a i5 diesel                    4350                    2400
28     w123.190  1978 - 1985        300td   3.0l om617 i5 diesel  4000 from 09 / 79 4400                    2400
29     w123.193  1980 - 1985  300td turbo  3.0l om617a i5 diesel                    4350                    2400
