                                       race      length      class                          circuit                   date
0                   24 hour pepsi challenge    24 hours        all   daytona international speedway  february 5 february 6
1             budweiser grand prix of miami      100 km        gtu                 streets of miami            february 27
2             budweiser grand prix of miami     3 hours        gtp                 streets of miami            february 27
3             budweiser grand prix of miami      100 km        gto                 streets of miami            february 27
4   coca - cola classic 12 hours of sebring    12 hours        all    sebring international raceway               march 19
5          road atlanta nissan / datsun 500      500 km        all                     road atlanta               april 10
6     los angeles times / datsun grand prix     6 hours        all  riverside international raceway               april 24
7                     monterey triple crown  45 minutes        gtu              laguna seca raceway                  may 1
8                     monterey triple crown   100 miles  gtp / gto              laguna seca raceway                  may 1
9                    charlotte camel gt 500      500 km        all         charlotte motor speedway                 may 15
10                          coca - cola 500     3 hours        all                   lime rock park                 may 30
11                     lumbermen 's 6 hours     6 hours        all     mid - ohio sports car course                june 19
12                          paul revere 250   250 miles        all   daytona international speedway                 july 4
13                         pepsi grand prix      500 km        all   brainerd international raceway                july 10
14               ford california grand prix     3 hours        all              sears point raceway                july 24
15                     gi joe 's grand prix     3 hours        all   portland international raceway                july 31
16                             labatt 's gt     6 hours        all                     mosport park              august 14
17                   road america pabst 500   500 miles        all                     road america              august 21
18                     grand prix of pocono   500 miles        all                   pocono raceway           september 11
19      eastern airlines 3 hours of daytona     3 hours        all   daytona international speedway            november 27
