                                      name  year                          propulsion                 launched by         country
0                                  fritz x  1943                                none                         air              de
1                          henschel hs 293  1943  liquid - propellant , then gliding                         air              de
2                                  kh - 55  1984                            turbofan                         air   ussr / russia
3                      blohm & voss bv 246  1943                                none                         air              de
4                                     ohka  1943                  solid - propellant                         air              jp
5                                      bat  1942                                none                         air             usa
6                                  harpoon  1977                     turbojet engine         air , surface , sub             usa
7                            as34 kormoran  1991                              rocket                         air              de
8                                  penguin  1972                    solid propellant         air , surface , sub             nor
9                       agm - 65f maverick  1972                    solid propellant                         air             usa
10                    naval strike missile  2009     turbojet and solid fuel booster               air , surface             nor
11                    agm - 123 skipper ii  1985                      solid - fueled                         air             usa
12                             ss12 / as12  1960                      solid - fueled               air , surface              fr
13                     bgm - 109b tomahawk  1983                            turbofan         air , surface , sub             usa
14                                   rb 04  1955                    solid propellant                         air             swe
15                                   rb 08  1966                            turbojet                     surface             swe
16                                rbs - 15  1985                            turbojet               air , surface             swe
17                                  exocet  1979                    solid propellant         air , surface , sub              fr
18                                 gabriel  1962                 solid - fuel rocket               air , surface              il
19                                  otomat  1977                            turbojet        surface , air (perã)              it
20                                  martel  1984                    solid propellant                         air         uk / fr
21                               sea eagle  1985                            turbojet                         air              uk
22                                sea skua  1983                          solid fuel                         air              uk
23                                   lrasm  2013                         liquid fuel                     surface             usa
24            ksshch (ss - n - 1 scrubber)  1958                liquid - fuel rocket                     surface            ussr
25         p - 15 termit (ss - n - 2 styx)  1958                  liquid fuel rocket                     surface            ussr
26   p - 5 pyatyorka (ss - n - 3 shaddock)  1959                            turbojet                     surface            ussr
27                kh - 22 (as - 4 kitchen)  1962                liquid - fuel rocket                         air            ussr
28  p - 70 ametist (ss - n - 7 starbright)  1968                        solid rocket                         sub            ussr
29            moskit (ss - n - 22 sunburn)  1970                              ramjet               surface , air            ussr
30     p - 120 malakhit (ss - n - 9 siren)  1972               turbojet , solid fuel                     surface            ussr
31    p - 500 bazalt (ss - n - 12 sandbox)  1975                  liquid fuel rocket         surface / submerged            ussr
32             p - 800 oniks (ss - n - 26)  1983                              ramjet               surface , air            ussr
33     3 m - 54 klub (ss - n - 27 sizzler)  1993                            turbojet               surface , sub            ussr
34                 kh - 35 (as - 20 kayak)  1983                            turbofan               surface , air            ussr
35              kh - 15 (as - 16 kickback)  1988                 solid - fuel rocket                         air            ussr
36               hae sung - i (ssm - 700k)  2005                            turbojet              ship , surface          skorea
37                           som (missile)  2006                            turbojet                         air          turkey
38                                 brahmos  2006                              ramjet  ship , surface , air , sub  india / russia
