     rank                  nation  gold  silver  bronze  total
0       1                   spain     3       2       3      7
1       2                  france     3       1       2      6
2       3                   italy     2       3       6     11
3       4                  turkey     2       2       4      8
4       5                 algeria     2       0       3      5
5       6                  greece     1       1       1      3
6       7   serbia and montenegro     1       0       2      3
7       8                slovenia     0       3       2      5
8       9                   egypt     0       2       2      4
9    10 =  bosnia and herzegovina     0       0       1      1
10   10 =                 morocco     0       0       1      1
11   10 =                 tunisia     0       0       1      1
12  total                   total    14      14      28     56
