                                      team                car (s)           driver (s)            primary sponsor (s)        crew chief
0                               bam racing          dodge charger         ken schrader                        schwans       david hyder
1                        bill davis racing          dodge charger         scott wimmer                caterpillar inc    derrick finley
2                        bill davis racing          dodge charger         casey atwood         sirius satellite radio        lee mccall
3   chip ganassi racing with felix sabates          dodge charger      sterling marlin                    coors light       steve boyer
4   chip ganassi racing with felix sabates          dodge charger          casey mears             target corporation     jimmy elledge
5   chip ganassi racing with felix sabates          dodge charger       jamie mcmurray              texaco / havoline      donnie wingo
6                     dale earnhardt , inc  chevrolet monte carlo  dale earnhardt , jr                      budweiser      pete rondeau
7                     dale earnhardt , inc  chevrolet monte carlo      michael waltrip                napa auto parts    tony eury , jr
8                     evernham motorsports          dodge charger          kasey kahne                  dodge dealers  tommy baldwin jr
9                     evernham motorsports          dodge charger      jeremy mayfield                  dodge dealers     kenny francis
10                   front row motorsports  chevrolet monte carlo  stanton barrett (r)         first trust portfolios        fred wanke
11                         haas cnc racing  chevrolet monte carlo           mike bliss                        netzero     bootie barker
12                    hendrick motorsports  chevrolet monte carlo       kyle busch (r)                kellogg company    alan gustafson
13                    hendrick motorsports  chevrolet monte carlo          jeff gordon                         dupont     robbie loomis
14                    hendrick motorsports  chevrolet monte carlo        brian vickers                           gmac      lance mcgrew
15                    hendrick motorsports  chevrolet monte carlo       jimmie johnson                        lowe 's        chad knaus
16                        joe gibbs racing  chevrolet monte carlo        jason leffler                          fedex       dave rogers
17                        joe gibbs racing  chevrolet monte carlo        bobby labonte           interstate batteries   steve addington
18                        joe gibbs racing  chevrolet monte carlo         tony stewart                 the home depot    greg zipadelli
19                 kirk shelmerdine racing            ford taurus     kirk shelmerdine                   freddie b 's       phil harris
20                           mach 1 racing  chevrolet monte carlo         randy lajoie                dimension films      mike steurer
21                         mbv motorsports  chevrolet monte carlo         joe nemechek             united states army    ryan pemberton
22                         mbv motorsports  chevrolet monte carlo          scott riggs                      valvoline     doug randolph
23            morgan - mcclure motorsports  chevrolet monte carlo         mike wallace                      lucas oil     chris carrier
24                  penske - jasper racing          dodge charger        rusty wallace                    miller lite      larry carter
25                  penske - jasper racing          dodge charger          ryan newman                         alltel      matt borland
26                  penske - jasper racing          dodge charger    travis kvapil (r)                  eastman kodak      shane wilson
27                       petty enterprises          dodge charger           jeff green                       cheerios     greg steadman
28                       petty enterprises          dodge charger           kyle petty              georgia - pacific      paul andrews
29                     peak fitness racing            ford taurus        hermie sadler                   peak fitness        james ince
30                              ppc racing            ford taurus        john andretti                  victory brand  dave charpentier
31                         ppi motorsports  chevrolet monte carlo  bobby hamilton , jr                           tide      harold holly
32                raabe racing enterprises  chevrolet monte carlo     eric mcclure (r)                   arc dehooker        tim brewer
33                              r&j racing          dodge charger         kevin lepage      bospoker / patron tequila  billy poindexter
34                richard childress racing  chevrolet monte carlo          dave blaney                 jack daniel 's    phillipe lopez
35                richard childress racing  chevrolet monte carlo        kevin harvick                  gm goodwrench      todd berrier
36                richard childress racing  chevrolet monte carlo          jeff burton              cingular wireless      kevin hamlin
37                robby gordon motorsports  chevrolet monte carlo         robby gordon  harrah 's / fruit of the loom        bob temple
38                     robert yates racing            ford taurus       elliott sadler                         m&m 's      todd parrott
39                     robert yates racing            ford taurus         dale jarrett                            ups         mike ford
40                            roush racing            ford taurus          mark martin               pfizer / viagara        pat tryson
41                            roush racing            ford taurus          greg biffle     national guard / post - it      doug richert
42                            roush racing            ford taurus         matt kenseth                         dewalt     robbie reiser
43                            roush racing            ford taurus           kurt busch           sharpie / rubbermaid      jimmy fennig
44                            roush racing            ford taurus         carl edwards          scotts / office depot       bob osborne
45                 victory in jesus racing          dodge charger      morgan shepherd              racing with jesus        troy kelly
46                    wood brothers racing            ford taurus           ricky rudd                     motorcraft   michael mcswain
