                    driver          constructor  laps  time / retired  grid
0       emerson fittipaldi         lotus - ford    96      1:56:18.22     2
1         franã§ois cevert       tyrrell - ford    96          + 4.69     6
2           jackie stewart       tyrrell - ford    96         + 33.19     4
3               jacky ickx              ferrari    96         + 42.57     3
4              denny hulme       mclaren - ford    95         + 1 lap     8
5        wilson fittipaldi       brabham - ford    95         + 1 lap    13
6           clay regazzoni                  brm    93        + 3 laps     1
7             peter revson       mclaren - ford    92        + 4 laps    11
8          arturo merzario              ferrari    92        + 4 laps    14
9            mike beuttler         march - ford    90      suspension    18
10    jean - pierre jarier         march - ford    84        radiator    17
11  jean - pierre beltoise                  brm    79          engine     7
12           howden ganley  iso marlboro - ford    79  not classified    19
13         ronnie peterson         lotus - ford    67    oil pressure     5
14              niki lauda                  brm    66    oil pressure    13
15        carlos reutemann       brabham - ford    16         gearbox     9
16           mike hailwood       surtees - ford    10       halfshaft    10
17             carlos pace       surtees - ford    10      suspension    15
18             nanni galli  iso marlboro - ford     0          engine    16
