                    name       category                eliminated      date                                     special guest
0            jiří zonyga     24 + years                    winner    june 1                                 see the next line
1            ondřej ruml     24 + years               final night    june 1                                 5angels , olympic
2                  all x   vocal groups          james bond night    may 25                              mta + čhave jilestar
3       martina pártlová     24 + years            american night    may 18                         láďa kerndl and henry lee
4        kamila nývltová  15 - 24 years  night of revived legends    may 11  zombies (dancing on michael jackson 's thriller)
5           za 5 dvanáct   vocal groups        czechoslovak night     may 4                                       miro žbirka
6          david gránský  15 - 24 years              banana night  april 27                                         karl wolf
7           anna ungrová  15 - 24 years    night of broken hearts  april 20                                     helena zeťová
8      pavlína ďuriačová  15 - 24 years          tribute to karel  april 13                                        karel gott
9   divoký kočky + dante   vocal groups             popcorn night   april 6                                   iva frühlingová
10         lukáš javůrek     24 + years           chocolate night  march 30                                           gipsycz
11              romantic   vocal groups                fire night  march 23                                       shayne ward
