    rank         nation  gold  silver  bronze  total
0      1         france     4       1       3      8
1      2  great britain     2       0       1      3
2      3        germany     1       1       2      4
3      4        belgium     1       1       1      3
4      5          japan     0       2       1      3
5      6      australia     0       1       1      2
6      6  united states     0       1       1      2
7      6         norway     0       1       1      2
8      9    netherlands     0       0       3      3
9     10        austria     0       0       1      1
10    10          italy     0       0       1      1
