             team            country                      home              skip                    third             second                  lead
0   north america      united states       madison , wisconsin       craig brown            rich ruohonen        john dunlop           peter annis
1   north america             canada       winnipeg , manitoba    jennifer jones  cathy overton - clapham       jill officer            dawn askin
2   north america             canada        edmonton , alberta         kevin koe          blake macdonald     carter rycroft        nolan thiessen
3   north america             canada  saskatoon , saskatchewan   stefanie lawton          marliese kasner       teejay surik              lana vey
4   north america             canada        edmonton , alberta      kevin martin              john morris       marc kennedy            ben hebert
5   north america      united states       madison , wisconsin  debbie mccormick        allison pottinger  nicole joraanstad        tracy sachtjen
6           world  scotland / sweden                 lockerbie     david murdoch           ewan macdonald        niklas edin            euan byers
7           world             sweden                 härnösand    anette norberg          kajsa bergström   cathrine lindahl            anna svärd
8           world        switzerland                     davos        mirjam ott           carmen schäfer     valeria spälty        janine greiner
9           world              china                    harbin       wang bingyu                  liu yin     yue qingshuang              zhou yan
10          world              china                    harbin     wang fengchun                  liu rui        xu xiaoming         zang jialiang
11          world             norway                      oslo     thomas ulsrud           torger nergård   christoffer svae  håvard vad petersson
