     res      record          opponent                           method                                             event  round   time                                       location
0     nc  22 - 4 (1)         pat healy                  nc (overturned)                                           ufc 159      3   4:02            newark , new jersey , united states
1    win      22 - 4        joe lauzon             decision (unanimous)                                           ufc 155      3   5:00             las vegas , nevada , united states
2   loss      21 - 4         nate diaz    submission (guillotine choke)                       ufc on fox : diaz vs miller      2   4:09   east rutherford , new jersey , united states
3    win      21 - 3   melvin guillard    submission (rear naked choke)                    ufc on fx : guillard vs miller      1   2:04          nashville , tennessee , united states
4   loss      20 - 3  benson henderson             decision (unanimous)                         ufc live : hardy vs lytle      3   5:00          milwaukee , wisconsin , united states
5    win      20 - 2    kamal shalorus             tko (knee & punches)                                           ufc 128      3   2:15            newark , new jersey , united states
6    win      19 - 2  charles oliveira             submission (kneebar)                                           ufc 124      1   1:59                     montreal , quebec , canada
7    win      18 - 2     gleison tibau             decision (unanimous)           ufc fight night : marquardt vs palhares      3   5:00                 austin , texas , united states
8    win      17 - 2        mark bocek             decision (unanimous)                                           ufc 111      3   5:00            newark , new jersey , united states
9    win      16 - 2      duane ludwig              submission (armbar)                                           ufc 108      1   2:31             las vegas , nevada , united states
10   win      15 - 2       steve lopez            tko (shoulder injury)                                           ufc 103      2   0:48                 dallas , texas , united states
11   win      14 - 2        mac danzig             decision (unanimous)                                           ufc 100      3   5:00             las vegas , nevada , united states
12  loss      13 - 2      gray maynard             decision (unanimous)                                            ufc 96      3   5:00                columbus , ohio , united states
13   win      13 - 1        matt wiman             decision (unanimous)                        ufc : fight for the troops      3   5:00  fayetteville , north carolina , united states
14   win      12 - 1       david baron    submission (rear naked choke)                                            ufc 89      3   3:19                           birmingham , england
15   win      11 - 1  bart palaszewski             decision (unanimous)                                  ifl : new jersey      3   5:00   east rutherford , new jersey , united states
16   win      10 - 1     chris liguori    submission (guillotine choke)                                 ring of combat 18      2   2:22     atlantic city , new jersey , united states
17   win       9 - 1     chris liguori            tko (doctor stoppage)  ring of combat 17: beast of the northeast finals      2   5:00     atlantic city , new jersey , united states
18   win       8 - 1       nuri shakir    submission (rear naked choke)                              battle cage xtreme 3      3   2:17     atlantic city , new jersey , united states
19   win       7 - 1  anthony morrison      submission (triangle choke)                     cffc 5: two worlds , one cage      1   4:56     atlantic city , new jersey , united states
20   win       6 - 1           al buck    submission (rear naked choke)                cage fury fighting championships 4      1   1:58     atlantic city , new jersey , united states
21  loss       5 - 1     frankie edgar             decision (unanimous)                   reality fighting 14: fall brawl      3   5:00     atlantic city , new jersey , united states
22   win       5 - 0       james jones      submission (triangle choke)             combat in the cage : marked territory      2   1:55          lincroft , new jersey , united states
23   win       4 - 0   muhsin corbbrey              submission (armbar)                   rf 13: battle at the beach 2006      2   3:35          wildwood , new jersey , united states
24   win       3 - 0    joseph andujar  submission (arm triangle choke)     reality fighting 12: return to boardwalk hall      1   1:04     atlantic city , new jersey , united states
25   win       2 - 0       kevin roddy    submission (rear naked choke)          reality fighting 11: battle at taj mahal      1  n / a     atlantic city , new jersey , united states
26   win       1 - 0       eddie fyvie             decision (unanimous)                               reality fighting 10      2   5:00     atlantic city , new jersey , united states
