     rank          nation  gold  silver  bronze  total
0       1     switzerland    43      27      27     97
1       2   united states    20      15       8     43
2       3            ussr     9       7       1     17
3       4         finland     7      15       7     29
4       5          france     6      13      14     33
5       6         denmark     4       1       8     13
6       7         estonia     4       1       2      7
7       8          norway     2       5       5     12
8       9         belgium     2       3       9     14
9      10          sweden     1       4      10     15
10     11   great britain     1       1       1      3
11     12         belarus     1       1       0      2
12     13  czech republic     1       0       2      3
13     14        slovenia     1       0       0      1
14     15           italy     0       6       1      7
15     16     netherlands     0       1       2      3
16     17         austria     0       1       1      2
17     18       argentina     0       0       1      1
18     18  czechoslovakia     0       0       1      1
19     18         hungary     0       0       1      1
20  total           total   102     101     102    305
