    year     pick              player    position         country           previous team (league)
0   1991        2         pat falloon  right wing          canada           spokane chiefs ( whl )
1   1992        3         mike rathje     defense          canada      medicine hat tigers ( whl )
2   1992       10      andrei nazarov   left wing          russia            dynamo moscow ( cis )
3   1993        6       viktor kozlov   left wing          russia            dynamo moscow ( rsl )
4   1994       11        jeff friesen   left wing          canada              regina pats ( whl )
5   1995       12  teemu riihijarvi ≠  right wing         finland    kiekko - espoo ( sm - liiga )
6   1996        2       andrei zyuzin     defense          russia          salavat yulajev ( rsl )
7   1996       21         marco sturm      center         germany              landshut ev ( del )
8   1997        2     patrick marleau   left wing          canada     seattle thunderbirds ( whl )
9   1997       23        scott hannan     defense          canada          kelowna rockets ( whl )
10  1998        3         brad stuart     defense          canada              regina pats ( whl )
11  1999       14        jeff jillson     defense   united states  university of michigan ( ccha )
12  2000  no pick             no pick     no pick         no pick                          no pick
13  2001       20          marcel goc      center         germany  schwenninger wild wings ( del )
14  2002       27       mike morris ≠     forward   united states   st sebastian 's school ( isl )
15  2003        6      milan michalek   left wing  czech republic      hc české budějovice ( cze )
16  2003       16       steve bernier  right wing          canada       moncton wildcats ( qmjhl )
17  2004       22        lukas kaspar   left wing  czech republic              hc litvínov ( cze )
18  2005        8     devin setoguchi  right wing          canada         saskatoon blades ( whl )
19  2006       16          ty wishart     defense          canada    prince george cougars ( whl )
20  2007        9       logan couture      center          canada             ottawa 67 's ( ohl )
21  2007       28       nick petrecki     defense   united states           omaha lancers ( ushl )
22  2008  no pick             no pick     no pick         no pick                          no pick
23  2009  no pick             no pick     no pick         no pick                          no pick
24  2010       28       charlie coyle     forward   united states       south shore kings ( ejhl )
25  2011  no pick             no pick     no pick         no pick                          no pick
26  2012       17         tomas hertl     forward  czech republic          hc slavia praha ( cze )
27  2013       18     mirco mueller ≠     defense     switzerland       everett silvertips ( whl )
