    rank          nation  gold  silver  bronze  total
0      1         algeria     8       3       0     11
1      2         tunisia     4       3       5     12
2      3           egypt     3       3       3      9
3      4        cameroon     1       1       5      7
4      5         morocco     0       1       5      5
5      6    south africa     0       1       1      2
6      7          angola     0       1       0      1
7      7    burkina faso     0       1       0      1
8      7           gabon     0       1       0      1
9      7      madagascar     0       1       0      1
10    11         nigeria     0       0       3      3
11    12         senegal     0       0       2      2
12    13  congo republic     0       0       1      1
13    13     ivory coast     0       0       1      1
14    13          guinea     0       0       1      1
15    13           niger     0       0       1      1
