                  driver            constructor  laps    time / retired  grid
0         kimi räikkönen                ferrari    66       1:38:19.051     1
1           felipe massa                ferrari    66           + 3.228     3
2         lewis hamilton     mclaren - mercedes    66           + 4.187     5
3          robert kubica             bmw sauber    66           + 5.694     4
4            mark webber     red bull - renault    66          + 35.938     7
5          jenson button                  honda    66          + 53.010    13
6        kazuki nakajima      williams - toyota    66          + 58.244    12
7           jarno trulli                 toyota    66          + 59.435     8
8          nick heidfeld             bmw sauber    66        + 1:03.073     9
9   giancarlo fisichella  force india - ferrari    65           + 1 lap    19
10            timo glock                 toyota    65           + 1 lap    14
11       david coulthard     red bull - renault    65           + 1 lap    17
12           takuma sato    super aguri - honda    65           + 1 lap    22
13          nico rosberg      williams - toyota    41            engine    15
14       fernando alonso                renault    34            engine     2
15    rubens barrichello                  honda    34  collision damage    11
16     heikki kovalainen     mclaren - mercedes    21          accident     6
17      anthony davidson    super aguri - honda     8    holed radiator    21
18    sébastien bourdais   toro rosso - ferrari     7  collision damage    16
19      nelson piquet jr                renault     6         collision    10
20          adrian sutil  force india - ferrari     0         collision    20
21      sebastian vettel   toro rosso - ferrari     0         collision    18
