    round            player    position    nationality  college / junior / club team (league)
0       3       rob bellamy  right wing  united states        new england jr coyotes ( ejhl )
1       4      r j anderson     defense  united states          centennial high school (minn)
2       4   david laliberte  right wing         canada  prince edward island rocket ( qmjhl )
3       5        chris zarb     defense  united states              tri - city storm ( ushl )
4       5    gino pisellini  right wing  united states               plymouth whalers ( ohl )
5       6   ladislav scurko      center       slovakia            spišská nová ves (slovakia)
6       6   frederik cabana      center         canada             halifax mooseheads (qmjhl)
7       8      martin houle  goaltender         canada   cape breton screaming eagles (qmjhl)
8       8  travis gawryletz     defense         canada            trail smoke eaters ( bchl )
9       9     triston grant   left wing         canada               vancouver giants ( whl )
10      9       john carter      center  united states              brewster bulldogs (emjhl)
