    election                           1st member                            1st party                           2nd member                            2nd party                           3rd member                            3rd party
0       1918                   sir william cheyne               coalition conservative                  dugald mccoig cowan                    coalition liberal                      sir henry craik               coalition conservative
1       1922                     sir george berry                             unionist                  dugald mccoig cowan                              liberal                      sir henry craik               coalition conservative
2   apr 1927                     sir george berry                             unionist                  dugald mccoig cowan                              liberal                          john buchan                             unionist
3       1931                         noel skelton                             unionist                  dugald mccoig cowan                              liberal                          john buchan                             unionist
4   mar 1934                         noel skelton                             unionist            george alexander morrison                              liberal                          john buchan                             unionist
5   jun 1935                         noel skelton                             unionist            george alexander morrison                     national liberal                        sir john kerr                             unionist
6   jan 1936                     ramsay macdonald                      national labour            george alexander morrison                     national liberal                        sir john kerr                             unionist
7   feb 1938                    sir john anderson                             national            george alexander morrison                     national liberal                        sir john kerr                             unionist
8   apr 1945                    sir john anderson                             national                  sir john boyd - orr                          independent                        sir john kerr                             unionist
9   nov 1946                    sir john anderson                             national                        walter elliot                             unionist                        sir john kerr                             unionist
10      1950  university constituencies abolished  university constituencies abolished  university constituencies abolished  university constituencies abolished  university constituencies abolished  university constituencies abolished
