                   player  played  sets won  sets lost  legs won  legs lost  lwat  100 +  140 +  180s  high checkout  3 - dart average
0             phil taylor       5        20          5        68         36    21    143     88    28            164             98.62
1              james wade       1         1          2         6          7     2     17      9     4             76             92.17
2           gary anderson       2         4          3        17         13     8     40     18    12            100             91.34
3             colin lloyd       2         4          3        17         13     6     45     23     3            156             91.13
4            adrian lewis       3         5          6        25         24    10     62     25    13            167             89.77
5          mark dudbridge       2         3          4        15         14     5     33     15    13             88             89.61
6           andy hamilton       4        11          7        42         34    15     92     42    11            149             88.60
7              wes newton       2         4          3        18         13     5     36     19     6            141             88.44
8           terry jenkins       4        11          6        39         32    15    103     49    17            116             88.39
9        dennis priestley       2         3          4        12         16     3     45     21     4            125             88.04
10             mark walsh       1         1          2         6          8     2     23      9     0             84             87.55
11            wayne jones       2         2          4        11         14     3     35     18     2            114             87.48
12  raymond van barneveld       5        17         11        59         59    17    149     58    24            130             87.41
13              john part       1         0          2         2          6     2      8      5     1             79             86.44
14          brendan dolan       1         0          2         2          6     0      8      5     2             55             86.01
15            jamie caven       1         0          2         2          6     1      7      5     1             65             85.55
16            mervyn king       2         2          3         8         13     3     19     14     4             76             84.86
17  vincent van der voort       1         1          2         7          7     3     22      6     2            136             84.59
18             andy smith       3         5          7        23         30    25     59     25    12            105             84.25
19            denis ovens       1         1          2         4          7     1     14      1     4             66             83.76
20         paul nicholson       1         1          2         5          8     1     15      4     4            120             82.92
21           john magowan       1         0          2         1          6     1     12      4     1            100             82.44
22          kevin painter       3         6          5        25         21    10     35     35    13            140             81.98
23          colin osborne       1         0          2         4          6     2     11      7     1             78             81.60
24            alan tabern       1         1          2         6          6     1     17      8     1             92             81.56
25     michael van gerwen       1         0          2         3          6     1     11      5     1             50             79.23
26           steve beaton       2         4          3        15         12     5     33     15     4            141             78.67
27            jacko barry       3         5          6        22         25     7     63     24     4             92             78.01
28        robert thornton       1         0          2         1          6     0      8      3     1             72             74.41
29          ronnie baxter       1         0          2         1          6     0     11      1     1             40             73.97
30           mick mcgowan       1         0          2         4          6     2     11      7     0             38             72.33
