                                        race             length          class                         circuit                   date
0                        rolex 24 at daytona           24 hours            all  daytona international speedway  february 3 february 4
1         exxon superflo 12 hours of sebring           12 hours            all   sebring international raceway               march 17
2   advance auto parts grand prix of atlanta         40 minutes        gts - 2                    road atlanta               april 21
3   advance auto parts grand prix of atlanta            3 hours  wsc / gts - 1                    road atlanta               april 21
4                exxon superflo 500 at texas          500 miles            all            texas world speedway                  may 5
5               the dodge dealers grand prix             1 hour        gts - 2                  lime rock park                 may 27
6               the dodge dealers grand prix  1 hour 45 minutes  wsc / gts - 1                  lime rock park                 may 27
7          first union six hours at the glen          six hours            all      watkins glen international                 june 9
8              toshiba california grand prix         45 minutes        gts - 2             sears point raceway                july 14
9              toshiba california grand prix            3 hours  wsc / gts - 1             sears point raceway                july 14
10                      chrysler mosport 500            3 hours            all   mosport international raceway              august 25
11               sprint grand prix of dallas         45 minutes        gts - 2           dallas street circuit            september 1
12               sprint grand prix of dallas            2 hours  wsc / gts - 1           dallas street circuit            september 1
13                       daytona imsa finale            3 hours            all  daytona international speedway              october 6
