    round  pick                     player    nationality       college / junior / club team
0       1    11             brad marsh (d)         canada             london knights ( oha )
1       3    47          tim bernhardt (g)         canada            cornwall royals ( oha )
2       4    64             jim macrae (f)         canada             london knights ( oha )
3       5    80            gord wappel (d)         canada               regina pats ( wchl )
4       6    97          greg meredith (d)         canada  university of notre dame ( ncaa )
5       7   114         dave hindmarch (c)         canada     university of alberta ( ciau )
6       8   131         dave morrison (rw)         canada         calgary wranglers ( wchl )
7       9   148             doug todd (rw)         canada    university of michigan ( ncaa )
8      10   165             mark green (c)  united states       sherbrooke beavers ( qmjhl )
9      11   180          bob sullivan (lw)         canada         toledo goaldiggers ( ihl )
10     12   196  bernhardt engelbrecht (g)   west germany         landshut ev ( bundesliga )
