    pick           nfl team           player          position         college
0      5  green bay packers  terrell buckley        cornerback   florida state
1     34  green bay packers   mark d'onofrio        linebacker      penn state
2     62  green bay packers    robert brooks     wide receiver  south carolina
3    103  green bay packers    edgar bennett      running back   florida state
4    119  green bay packers    dexter mcnabb      running back         florida
5    130  green bay packers    orlando mckay     wide receiver      washington
6    157  green bay packers      mark chmura         tight end  boston college
7    190  green bay packers     chris holder     wide receiver        tuskegee
8    230  green bay packers        ty detmer       quarterback             byu
9    240  green bay packers  shazzon bradley  defensive tackle       tennessee
10   257  green bay packers     andrew oberg            tackle  north carolina
11   287  green bay packers     gabe mokwuah        linebacker        american
