                  player  games played  rebounds  assists  steals  blocks  points
0        allison feaster            34       113       73      52       9     422
1         andrea stinson            34       140       97      48       5     377
2   tammy sutton - brown            34       201       15      19      50     286
3            dawn staley            34        58      174      49       4     269
4          shalonda enis            29       125       16      29       2     252
5           kelly miller            34        53       47      18       2     189
6           rushia brown            34        83       16      29      10     125
7           teana miller            31        91        6      14      24     105
8        charlotte smith            27        60       18      10       2      95
9          tynesha lewis            23        33       20      10       6      70
10       marla brumfield            25        10       14       1       1      18
