     rank         nation  gold  silver  bronze  total
0       1    netherlands    10       3       1     14
1       2         russia     8       5       8     21
2       3         france     6       2       3     11
3       4        germany     5       3       4     12
4       5        hungary     3       4       1      8
5       6        croatia     2       3       0      5
6       7        denmark     2       1       5      8
7       8          italy     1       3       1      5
8       9        austria     1       0       1      2
9       9  great britain     1       0       1      2
10      9         norway     1       0       1      2
11     12         sweden     0       3       2      5
12     13          spain     0       2       3      5
13     14         poland     0       2       0      2
14     15         serbia     0       1       2      3
15     16        belarus     0       1       1      2
16     16       slovenia     0       1       1      2
17     18        estonia     0       1       0      1
18     18      lithuania     0       1       0      1
19     20        finland     0       0       1      1
20     20         israel     0       0       1      1
21     20        ukraine     0       0       1      1
22  total          total    40      36      38    114
