    rank          nation  gold  silver  bronze  total
0      1         belgium     6       0       3      9
1    2 =         germany     2       2       2      7
2    2 =     netherlands     2       2       2      6
3      4          turkey     2       0       1      3
4      5          france     1       3       6     10
5      6         belarus     1       2       1      4
6      7         georgia     1       1       0      2
7      8          poland     1       0       4      5
8      9   great britain     0       2       3      5
9     10           spain     0       2       1      3
10    11         austria     0       1       1      2
11    12  czech republic     0       1       0      1
12    13          russia     0       0       2      2
13  14 =         estonia     0       0       1      1
14  14 =           italy     0       0       1      1
15  14 =       lithuania     0       0       1      1
16  14 =         romania     0       0       1      1
17  14 =        portugal     0       0       1      1
18  14 =      yugoslavia     0       0       1      1
