   host city  year                  winner        1st runner up          2nd runner up
0   istanbul  1988           neneng robiah         helena kirsi              sibel tan
1   istanbul  1989               kao arden     marisabel valdes         aneta rusewitz
2     taipei  1990           sharon luengo         nany naegele            eva pedraza
3      turku  1992        celine cassagnes         meike swartz         sonia bermudez
4   istanbul  1993          gemith gemparo     natalia martinez        dimitri kostaki
5   istanbul  1994       isabelle de silva        irini alexiou   alexandra koukoulyka
6   istanbul  1995    laura marlen cabrera           tugba ozay    jakki denell aherne
7   istanbul  1996  carla paneca fernandez      mercedes mwajas         yenni vaca paz
8   istanbul  1997         caroline lubrez          mari carmen         assel isabaeva
9   istanbul  1998             abby essien    veronica laskaeva              woon yeow
10   antalya  1999        michaella walker         rosana pelaz   thanyaluk worapimrat
11  istanbul  2000    malgorzata rozniecka   alexandra aguilera            feza gursoy
12  istanbul  2001           laura keranen  ksenia saifutdinova           oksana dahan
13  istanbul  2002                 yan wei         marta gracia    dimitra alexandraki
14   beijing  2004       khemanit jamikorn                ma li             ling zhang
15  shenzhen  2005        catherine abboud       chien - an lin       elena tihomirova
16  shenzhen  2006                 di song     eleonora masalab  ana maria ortiz rodal
17  yuncheng  2007          iveta lutovská     stephanie thomas           ria antoniou
18  shenzhen  2008          mariia iakimuk           hommy king             serap tunç
19  shenzhen  2009             emene nyame          deyra cimen      iuliia galichenko
20  shenzhen  2010          amanda delgado          ema masters          qing qing cao
