           country  preliminaries  interview  swimsuit  evening gown  average
0       california          9.090      9.270     9.437         9.429    9.379
1   south carolina          9.057      9.220     9.369         9.516    9.368
2          georgia          8.949      9.343     9.217         9.519    9.360
3        tennessee          9.212      9.321     9.364         9.330    9.338
4           kansas          9.197      9.194     9.297         9.433    9.308
5         missouri          9.097      9.143     9.140         9.617    9.300
6       new jersey          9.117      9.047     9.329         9.334    9.234
7      mississippi          9.042      9.170     9.109         9.127    9.135
8     pennsylvania          8.940      9.183     9.031         9.163    9.123
9        louisiana          9.017      9.118     9.023         9.189    9.110
10         florida          8.968      8.891     9.134         9.179    9.068
