           year         winner and nominees                                     original title                                   country                director
0    1992 (7th)                   indochine                                          indochine                                    france          régis wargnier
1    1992 (7th)               hidden agenda                                      hidden agenda                            united kingdom               ken loach
2    1992 (7th)                 riff - raff                                        riff - raff                            united kingdom               ken loach
3    1993 (8th)         three colors : blue                              trois couleurs : bleu                             france poland    krzysztof kieślowski
4    1993 (8th)             the crying game                                    the crying game                            united kingdom             neil jordan
5    1993 (8th)            peter 's friends                                   peter 's friends                            united kingdom         kenneth branagh
6    1994 (9th)                 the snapper                                        the snapper                            united kingdom          stephen frears
7    1994 (9th)              raining stones                                     raining stones                            united kingdom               ken loach
8    1994 (9th)      the remains of the day                             the remains of the day                            united kingdom             james ivory
9   1995 (10th)                    lamerica                                           lamerica                                     italy           gianni amelio
10  1995 (10th)                  carrington                                         carrington                     united kingdom france     christopher hampton
11  1995 (10th)  the madness of king george                         the madness of king george                            united kingdom         nicholas hytner
12  1996 (11th)              secrets & lies                                     secrets & lies                     united kingdom france              mike leigh
13  1996 (11th)          breaking the waves                                 breaking the waves  denmark france netherlands norway sweden          lars von trier
14  1996 (11th)               ulysses' gaze                              το βλέμμα του οδυσσέα                       france greece italy  theodoros angelopoulos
15  1997 (12th)              the full monty                                     the full monty                            united kingdom          peter cattaneo
16  1997 (12th)                 brassed off                                        brassed off                            united kingdom             mark herman
17  1997 (12th)         the english patient                                the english patient              united kingdom united states       anthony minghella
18  1998 (13th)                   the boxer                                          the boxer                     ireland united states            jim sheridan
19  1998 (13th)                       april                                             aprile                              france italy           nanni moretti
20  1998 (13th)        marius and jeannette                                marius et jeannette                                    france       robert guédiguian
21  1998 (13th)                   the thief                                                vor                                    russia          pavel chukhrai
22  1999 (14th)           life is beautiful                                    la vita è bella                                     italy         roberto benigni
23  1999 (14th)       black cat , white cat  црна мачка , бели мачор / crna mačka , beli mačor                            france germany          emir kusturica
24  1999 (14th)             the dinner game                                   le dîner de cons                                    france           francis veber
25  1999 (14th)         it all starts today                            ça commence aujourd'hui                                    france      bertrand tavernier
