                        aircraft          origin                 type       versions         in service
0        cessna a - 37 dragonfly   united states     attack / fighter        a - 37b  12 (16 delivered)
1              fma ia 58 pucarã¡       argentina               attack         a - 58    5 (6 delivered)
2      lockheed c - 130 hercules   united states  transport / utility       c - 130b                  2
3    embraer emb 110 bandeirante          brazil  transport / utility         c - 95                  3
4        beechcraft twin bonanza   united states  transport / utility            d50                  1
5           casa c - 212 aviocar           spain            transport  c - 212 - 200                  2
6       embraer emb 120 brasilia          brazil            transport        emb 120                  1
7          cessna 206 stationair   united states    utility / liaison          u206h                 10
8           beechcraft b58 baron   united states    trainer / liaison         b - 58                  2
9          british aerospace 125  united kingdom        vip transport      700a 600a                  2
10               aermacchi sf260           italy              trainer     t - 260 eu                 12
11  pilatus pc - 7 turbo trainer     switzerland              trainer           - 92    5 (6 delivered)
12       cessna t - 41 mescalero   united states              trainer        t - 41d                  7
13   aerospatiale as 365 dauphin          france  liaison / transport         as 365                  1
14            bell 212 twin huey   united states  transport / utility       bell 212                  4
15          bell uh - 1 iroquois   united states  transport / utility        uh - 1h                 13
