    rank                  name        years  goals  apps
0      1          silvio piola  1929 - 1954    274   537
1      2       francesco totti       1992 -    230   543
2      3        gunnar nordahl  1948 - 1958    225   291
3      4       giuseppe meazza  1929 - 1947    216   367
4      4         josé altafini  1958 - 1976    216   459
5      6        roberto baggio  1985 - 2004    205   452
6      7           kurt hamrin  1956 - 1971    190   400
7      8      giuseppe signori  1991 - 2004    188   344
8      8  alessandro del piero  1993 - 2012    188   478
9     10     gabriel batistuta  1991 - 2003    184   318
10    11     antonio di natale       2002 -    180   368
11    12   giampiero boniperti  1946 - 1961    178   443
12    13         amedeo amadei  1936 - 1956    174   423
13    14      giuseppe savoldi  1965 - 1982    168   405
14    15     guglielmo gabetto  1934 - 1949    167   322
15    16     alberto gilardino       1999 -    164   425
16    17    roberto boninsegna  1965 - 1979    163   366
17    18            luigi riva  1964 - 1976    156   289
18    18       filippo inzaghi  1995 - 2012    156   370
19    18       roberto mancini  1981 - 2000    156   541
20    21          luís vinício  1955 - 1968    155   348
21    21       carlo reguzzoni  1929 - 1948    155   401
22    23          istván nyers  1948 - 1956    153   236
23    23         hernán crespo  1996 - 2012    153   340
24    25      adriano bassetto  1946 - 1958    149   329
25    26           omar sívori  1957 - 1969    147   278
26    27       christian vieri  1991 - 2009    142   264
27    27        benito lorenzi  1947 - 1959    142   330
28    27         marco di vaio  1994 - 2012    142   342
29    27          paolo pulici  1967 - 1985    142   401
