     res       record           opponent                           method                                  event  round   time                                    location
0    win  23 - 11 - 1        doo won seo  submission (arm triangle choke)                             road fc 11      2   2:24                         seoul , south korea
1   loss  22 - 11 - 1   tatsuya kawajiri  submission (arm triangle choke)                               dream 17      3   2:30                   saitama , saitama , japan
2    win  22 - 10 - 1   mitsuhiro ishida                 decision (split)               dream : fight for japan!      2   5:00                   saitama , saitama , japan
3    win  21 - 10 - 1         usama aziz              submission (armbar)                      super challenge 6      2   3:47                          stockholm , sweden
4    win  20 - 10 - 1       hideo tokoro      submission (triangle choke)                               dream 16      1   2:48                              nagoya , japan
5   loss  19 - 10 - 1    hiroyuki takaya                     ko (punches)                               dream 14      1   4:27                   saitama , saitama , japan
6   loss   19 - 9 - 1  bibiano fernandes                 decision (split)                               dream 13      2   5:00                            yokohama , japan
7   loss   19 - 8 - 1        shinya aoki              submission (armbar)                               dream 11      2   4:56                            yokohama , japan
8    win   19 - 7 - 1        shinya aoki                    tko (punches)                                dream 5      1   4:19                               osaka , japan
9    win   18 - 7 - 1        kultar gill              submission (armbar)                                dream 5      1   2:33                               osaka , japan
10  loss   17 - 7 - 1      eddie alvarez             decision (unanimous)                                dream 3      2   5:00                   saitama , saitama , japan
11   win   17 - 6 - 1       kotetsu boku             decision (unanimous)                                dream 1      2   5:00                   saitama , saitama , japan
12   win   16 - 6 - 1    kazuyuki miyata    submission (rear naked choke)                        dynamite!! 2007      2   1:33                               osaka , japan
13  loss   15 - 6 - 1      eiji mitsuoka              decision (majority)           shooto : back to our roots 6      3   5:00                               tokyo , japan
14   win   15 - 5 - 1      jason ireland              submission (armbar)                               pride 33      3   2:33          las vegas , nevada , united states
15  loss   14 - 5 - 1        shinya aoki           submission (gogoplata)                   pride shockwave 2006      1   2:24                   saitama , saitama , japan
16   win   14 - 4 - 1       luiz azeredo                        ko (knee)                       pride bushido 10      1   7:09                               tokyo , japan
17  loss   13 - 4 - 1   tatsuya kawajiri               dq (kick to groin)      shooto : the victory of the truth      1   0:08                               tokyo , japan
18  loss   13 - 3 - 1     hayato sakurai             decision (unanimous)                        pride bushido 9      2   5:00                               tokyo , japan
19   win   13 - 2 - 1       yves edwards                 decision (split)                        pride bushido 9      2   5:00                               tokyo , japan
20   win   12 - 2 - 1  kenichiro togashi             decision (unanimous)                    shooto : alive road      3   5:00                            yokohama , japan
21   win   11 - 2 - 1   masakazu imanari                        ko (knee)                        pride bushido 8      1   2:34                              nagoya , japan
22   win   10 - 2 - 1           caol uno                        ko (knee)                              deep - 13      3   4:48                   saitama , saitama , japan
23   win    9 - 2 - 1     sergey golyaev    submission (rear naked choke)          euphoria - road to the titles      1   3:24  atlantic city , new jersey , united states
24   win    8 - 2 - 1  gesias cavalcante              decision (majority)                    shooto 2004: 7 / 16      3   5:00                               tokyo , japan
25   win    7 - 2 - 1        metin yakut                    tko (punches)  shooto finland : capital punishment 2      2   3:50                          helsinki , finland
26  loss    6 - 2 - 1      vitor ribeiro  submission (arm triangle choke)             shooto 2003: year end show      2   2:37                       chiba , chiba , japan
27   win    6 - 1 - 1      takanori gomi              decision (majority)                    shooto 2003: 8 / 10      3   5:00                            yokohama , japan
28   win    5 - 1 - 1        rumina sato                    tko (punches)                    shooto 2003: 3 / 18      1   2:09                               tokyo , japan
29   win    4 - 1 - 1    takumi nakayama              decision (majority)           shooto 2002: year - end show      3   5:00                       chiba , chiba , japan
30   win    3 - 1 - 1        sami hyyppa                       submission        shooto finland : the first time      1   4:00                             turku , finland
31  draw    2 - 1 - 1     rafles la rose                             draw                                   cw 3      2   5:00                            galway , ireland
32   win        2 - 1         olof inger                         decision                           fire fight 5  n / a  n / a                             turku , finland
33  loss        1 - 1           jani lax    submission (rear naked choke)                           fire fight 4      1   9:25                             turku , finland
34   win        1 - 0    marcus peltonen                              tko                           fire fight 3      1   1:38                             turku , finland
