    rank                                  name          nation  points  placings
0      1   marina cherkasova / sergei shakhrai    soviet union  144.64        10
1      2        manuela mager / uwe bewersdorf    east germany  142.92        20
2      3  marina pestova / stanislav leonovich    soviet union  141.08        25
3      4       sabine baeß / tassilo thierbach    east germany  138.98        38
4      5  christina riegel / andreas nischwitz    west germany  135.92        46
5      6     veronika pershina / marat akbarov    soviet union  134.32        55
6      7   kitty carruthers / peter carruthers   united states  134.10        58
7      8         igrid spieglová / alan spiegl  czechoslovakia  130.56        76
8      9     cornelia haufe / kersten bellmann    east germany  128.14        84
9     10    sheryl franks / michael botticelli   united states  127.68        90
10    11      barbara underhill / paul martini          canada  127.86        91
11    12           yukiko okabe / takashi mura           japan  119.74       113
12    13            susan garland / robert daw  united kingdom  119.06       115
13    14           elizabeth cain / peter cain       australia  116.38       123
14    15                     luan bo / yao bin           china   88.06       135
