           central murray  wins  byes  losses  draws  against
0                  kerang    16     2       0      0      880
1               woorineen    11     2       5      0     1186
2               tyntynder    11     2       5      0     1273
3      koondrook - barham    10     2       6      0     1233
4           cohuna kangas     9     2       7      0     1168
5               lake boga     8     2       8      0     1490
6               swan hill     7     2       9      0     1161
7           mallee eagles     6     2      10      0     1616
8      nyah nyah west utd     5     2      11      0     1685
9   tooleybuc manangatang     5     2      11      0     1782
10              balranald     0     2      16      0     3108
