    pick           player    position     nationality               nhl team              college / junior / club team
0    148       don porter   left wing          canada         st louis blues  michigan technological university (wcha)
1    149   vladimir kames      centre  czechoslovakia      new jersey devils         hc dukla jihlava (czechoslovakia)
2    150   shannon deegan      centre          canada      los angeles kings              university of vermont (ecac)
3    151     derek laxdal  right wing          canada    toronto maple leafs                 brandon wheat kings (whl)
4    152    lars karlsson   left wing          sweden      detroit red wings                    fã¤rjestad bk (sweden)
5    153  glenn greenough  right wing          canada    chicago black hawks                      sudbury wolves (ohl)
6    154     urban nordin      centre          sweden      detroit red wings                      modo hockey (sweden)
7    155        jim vesey      centre   united states         st louis blues          columbus high school (ushs - ma)
8    156       brad jones      centre   united states          winnipeg jets             university of michigan (ccha)
9    157        jim agnew     defence          canada      vancouver canucks                 brandon wheat kings (whl)
10   158   brad mccaughey  right wing   united states     montreal canadiens         ann arbor high school (ushs - mi)
11   159      jiri hrdina      centre  czechoslovakia         calgary flames          hc sparta praha (czechoslovakia)
12   160   darin macinnis  goaltender   united states  minnesota north stars                   kent school (ushs - ct)
13   161     brian nelson      centre   united states       new york rangers           willmar high school (ushs - mn)
14   162       jyrki maki     defence         finland       quebec nordiques                   hifk helsinki (finland)
15   163      luke vitale      centre          canada    philadelphia flyers             henry carr crusaders (metjhl)
16   164        frank joo     defence          canada    washington capitals                         regina pats (whl)
17   165   orwar stambert     defence          sweden         buffalo sabres                   djurgardens if (sweden)
18   166      don sweeney     defence          canada          boston bruins             st paul 's school (ushs - nh)
19   167  franco desantis     defence          canada     new york islanders                    verdun juniors (qmjhl)
20   168        todd ewen  right wing          canada        edmonton oilers              new westminster bruins (whl)
