    rank        country      2009      2010      2011
0    1.0          china   8038703   8651831   9174280
1    2.0          italy   8242500   7787800   7115500
2    3.0  united states   6629198   6777731   6756449
3    4.0         france   6101525   5794433   6588904
4    5.0          spain   5535333   6107617   5809315
5    6.0         turkey   4264720   4255000   4296351
6    7.0          chile   2600000   2903000   3149380
7    8.0      argentina   2181567   2616613   2750000
8    9.0           iran   2305000   2225000   2240000
9   10.0      australia   1797012   1684345   1715717
10   NaN          world  58521410  58292101  58500118
