    rank          nation  gold  silver  bronze  total
0      1   united states    53      57      76    186
1      2    soviet union    45      42      24    111
2      3         austria    36      46      34    116
3      4          canada    31      35      31     97
4      4          russia    30      22      22     74
5      6   great britain    28      30      24     82
6      7         germany    20      31      26     77
7      8          sweden    15       7      11     33
8      9         hungary    13       7      15     35
9     10    east germany    12      16      12     40
10    11          france    11      18      16     45
11    12          norway    10       2       5     17
12    13  czechoslovakia     9       5       5     19
13    14           japan     8       6      11     25
14    15           china     6       8       6     20
15    16     switzerland     4       2       2      8
16    17     netherlands     4       1       3      8
17    18         finland     3       5       3     11
18    19           italy     2       3       5     10
19    20     south korea     2       2       2      6
20    21        bulgaria     2       1       1      4
21    22         ukraine     2       0       2      4
22    23         belgium     2       0       1      3
23    24  czech republic     1       0       0      1
24    25      kazakhstan     0       1       0      1
25    26          poland     0       0       2      2
26    27          israel     0       0       1      1
27    27       lithuania     0       0       1      1
28    27           spain     0       0       1      1
