    no in series  no in season                            title                   directed by                    written by  original air date
0             42             1  truth and consequences (part 1)                   grant brown          louise crane - bowes    9 february 1999
1             43             2  truth and consequences (part 2)                robert klenner          louise crane - bowes    9 february 1999
2             44             3                      aftershocks                    peter fisk                    sally webb   16 february 1999
3             45             4                  the longest day                  scott feeney            christina milligan   23 february 1999
4             46             5        if these walls could talk                   grant brown  cathy strickland & andy ryan       3 march 1999
5             47             6              getting to know you                robert klenner        anthony ellis - morris       9 march 1999
6             48             7                   dependence day                    peter fisk    andy ryan & shane porteous      16 march 1999
7             49             8                       bloodlines                geoff cawthorn                 annette moore      23 march 1999
8             50             9  more things in heaven and earth              malcolm mcdonald                     bevan lee      30 march 1999
9             51            10              pushed to the limit                robert klenner               margaret wilson       6 april 1999
10            52            11               friends and lovers                    peter fisk          louise crane - bowes      13 april 1999
11            53            12                    judgement day                    peter fisk              charlie strachan      20 april 1999
12            54            13                    roll the dice               catherine roden             michaeley o'brien      27 april 1999
13            55            14               my mother , myself                robert klenner                 anthony ellis         4 may 1999
14            56            15                       get a life                    peter fisk            christina milligan        11 may 1999
15            57            16                 an irish lullaby                geoff cawthorn        lesley and jenny lewis        18 may 1999
16            58            17                     head to head               catherine roden                kristen dunphy        25 may 1999
17            59            18               desperate remedies                robert klenner   anthony ellis & alexa wyatt        1 june 1999
18            60            19                  the human touch                    peter fisk          louise crane - bowes        8 june 1999
19            61            20                    disaster plan                geoff cawthorn               margaret wilson       15 june 1999
20            62            21               forget - me - nots               catherine roden              charlie strachan       22 june 1999
21            63            22              shoot the messenger                robert klenner                  grace morris       29 june 1999
22            64            23                  in with the new                    peter fisk    annette moore & sally webb        6 july 1999
23            65            24                    second chance                geoff cawthorn                     bevan lee       13 july 1999
24            66            25                          endgame               catherine roden            christina milligan       20 july 1999
25            67            26           behind closed curtains                robert klenner                david phillips       27 july 1999
26            68            27              lesser of two evils                    peter fisk          louise crane - bowes      3 august 1999
27            69            28              a whole lot to lose                       di drew                    john banas     10 august 1999
28            70            29                just like a woman                 geoff bennett                   alexa wyatt     17 august 1999
29            71            30                  three™s a crowd               catherine roden                chris hawkshaw     24 august 1999
30            72            31                       time bombs  peter fisk & catherine roden                   peter neale     31 august 1999
31            73            32            memories by moonlight                   peter sharp              charlie strachan   7 september 1999
32            74            33          true love and the blues                 geoff bennett                serge lazareff  14 september 1999
33            75            34         knowing me , knowing you               catherine roden                david phillips  21 september 1999
34            76            35                  when duty calls                    peter fisk          louise crane - bowes  28 september 1999
35            77            36               the ties that bind                    mark piper                 anthony ellis     5 october 1999
36            78            37                   lost and found                 geoff bennett               margaret wilson    12 october 1999
37            79            38              the stuff of dreams               catherine roden                 annette moore    19 october 1999
38            80            39               outside the square                    peter fisk                     andy ryan    26 october 1999
39            81            40          everyone loves a winner                    mark piper                chris hawkshaw    2 november 1999
40            82            41                  blood and water                  kevin carlin                serge lazareff    9 november 1999
41            83            42                       life class               catherine roden              charlie strachan   16 november 1999
