                date                    venue                    opponent   result    tournament  scored
0       6 april 2007         twickenham stoop               harlequins rl  30 - 28  super league       1
1        26 may 2007              jjb stadium              wigan warriors  47 - 16  super league       1
2        8 july 2007              craven park                     hull kr  20 - 30  super league       1
3       13 july 2007               kc stadium               harlequins rl   20 - 8  super league       1
4       29 july 2007               kc stadium           salford city reds  48 - 26  super league       2
5     17 august 2007                belle vue  wakefield trinity wildcats  24 - 42  super league       1
6    8 february 2008  halliwell jones stadium           warrington wolves  38 - 20  super league       2
7       2 march 2008         galpharm stadium         huddersfield giants   28 - 8  super league       1
8       7 march 2008            knowsley road              st helens rlfc  30 - 29  super league       1
9      11 april 2008               the jungle           castleford tigers  12 - 32  super league       2
10     27 april 2008               kc stadium         huddersfield giants  28 - 20  super league       1
11      15 june 2008               kc stadium           castleford tigers  40 - 14  super league       3
12      12 july 2008                belle vue  wakefield trinity wildcats  18 - 26  super league       2
13      20 july 2008               kc stadium                     hull kr  44 - 18  super league       1
14  27 february 2009               kc stadium            catalans dragons  28 - 12  super league       1
15     15 march 2009                    odsal              bradford bulls  24 - 36  super league       2
16     28 march 2009         twickenham stoop               harlequins rl  22 - 12  super league       1
17      17 july 2009               kc stadium                   crusaders   22 - 6  super league       1
18      25 july 2009              craven park                     hull kr  24 - 18  super league       4
19    21 august 2009               kc stadium               harlequins rl   26 - 6  super league       3
20  4 september 2009              jjb stadium              wigan warriors  34 - 22  super league       1
21  12 february 2010               kc stadium         huddersfield giants   14 - 6  super league       1
22  26 february 2010               kc stadium               harlequins rl   28 - 4  super league       1
23      5 march 2010               kc stadium           castleford tigers  42 - 22  super league       1
24     12 march 2010              jjb stadium              wigan warriors  48 - 24  super league       1
25      5 april 2010               kc stadium           warrington wolves  10 - 29  super league       1
26     11 april 2010      headingley carnegie                leeds rhinos  46 - 30  super league       1
27      11 june 2010               kc stadium           salford city reds  34 - 12  super league       2
28       4 july 2010                    odsal              bradford bulls  22 - 28  super league       1
29      7 march 2011               the jungle           castleford tigers  27 - 14  super league       1
30     18 march 2011              the willows           salford city reds  34 - 18  super league       2
31      12 june 2011      headingley carnegie                leeds rhinos  44 - 14  super league       1
