                                    tie no                               home team                                   score                               away team                              attendance
0                                        1                             aston villa                                   0 - 1                           coventry city                        14 february 1998
1                                        2                        sheffield united                                   1 - 0                                 reading                        13 february 1998
2                                        3                        newcastle united                                   1 - 0                         tranmere rovers                        14 february 1998
3                                        4                         west ham united                                   2 - 2                        blackburn rovers                        14 february 1998
4                                   replay                        blackburn rovers                                   1 - 1                         west ham united                        25 february 1998
5   west ham united won 5 - 4 on penalties  west ham united won 5 - 4 on penalties  west ham united won 5 - 4 on penalties  west ham united won 5 - 4 on penalties  west ham united won 5 - 4 on penalties
6                                        5                       manchester united                                   1 - 1                                barnsley                        15 february 1998
7                                   replay                                barnsley                                   3 - 2                       manchester united                        25 february 1998
8                                        6                               wimbledon                                   1 - 1                 wolverhampton wanderers                        14 february 1998
9                                   replay                 wolverhampton wanderers                                   2 - 1                               wimbledon                        25 february 1998
10                                       7                                 arsenal                                   0 - 0                          crystal palace                        15 february 1998
11                                  replay                          crystal palace                                   1 - 2                                 arsenal                        25 february 1998
12                                       8                            leeds united                                   3 - 2                         birmingham city                        14 february 1998
