                                        team                  driver    chassis        engine         rounds
0                          lawson team impul          tsugio matsuda  lola fn06   toyota rv8j            all
1                          lawson team impul         benoît tréluyer  lola fn06   toyota rv8j            all
2                               kondo racing          naoki yokomizo  lola fn06   toyota rv8j            all
3                               kondo racing  joão paulo de oliveira  lola fn06   toyota rv8j            all
4                             sg team 5zigen      toshihiro kaneishi  lola fn06  honda hf386e            all
5                             sg team 5zigen      katsuyuki hiranaka  lola fn06  honda hf386e  1 - 4 , 7 - 8
6                             sg team 5zigen        hiroki yoshimoto  lola fn06  honda hf386e          5 - 6
7                                team lemans        satoshi motoyama  lola fn06   toyota rv8j            all
8                                team lemans         hiroaki ishiura  lola fn06   toyota rv8j            all
9                           tp checker impul            kohei hirate  lola fn06   toyota rv8j      1 - 6 , 8
10                          tp checker impul           richard lyons  lola fn06   toyota rv8j              7
11                      piaa nakajima racing              loïc duval  lola fn06  honda hf386e            all
12                      piaa nakajima racing          takashi kogure  lola fn06  honda hf386e            all
13                      petronas team tom 's          andré lotterer  lola fn06   toyota rv8j            all
14                      petronas team tom 's               seiji ara  lola fn06   toyota rv8j            all
15              docomo team dandelion racing         kosuke matsuura  lola fn06  honda hf386e            all
16              docomo team dandelion racing        takeshi tsuchiya  lola fn06  honda hf386e            all
17                cerumo / inging motorsport      ronnie quintarelli  lola fn06   toyota rv8j            all
18                cerumo / inging motorsport          yuji tachikawa  lola fn06   toyota rv8j            all
19                autobacs racing team aguri                yuji ide  lola fn06  honda hf386e            all
20                autobacs racing team aguri            takuya izawa  lola fn06  honda hf386e            all
21  stonemarket blaak cerumo / inging racing          roberto streit  lola fn06   toyota rv8j            all
