    year                      film     result                 category              actor
0   1977                annie hall  nominated               best actor        woody allen
1   1977                annie hall        won             best actress       diane keaton
2   1978                 interiors  nominated             best actress     geraldine page
3   1978                 interiors  nominated  best supporting actress  maureen stapleton
4   1979                 manhattan  nominated  best supporting actress   mariel hemingway
5   1986    hannah and her sisters        won    best supporting actor      michael caine
6   1986    hannah and her sisters        won  best supporting actress       dianne wiest
7   1989   crimes and misdemeanors  nominated    best supporting actor      martin landau
8   1992        husbands and wives  nominated  best supporting actress         judy davis
9   1994     bullets over broadway  nominated    best supporting actor   chazz palminteri
10  1994     bullets over broadway        won  best supporting actress       dianne wiest
11  1994     bullets over broadway  nominated  best supporting actress     jennifer tilly
12  1995          mighty aphrodite        won  best supporting actress       mira sorvino
13  1999         sweet and lowdown  nominated               best actor          sean penn
14  1999         sweet and lowdown  nominated  best supporting actress    samantha morton
15  2008  vicky cristina barcelona        won  best supporting actress      penãlope cruz
