    draw    language                artist                                    song  place  points
0      1   icelandic             beathoven                   þú og þeir (sókrates)     16      20
1      2     swedish         tommy körberg                             stad i ljus     12      52
2      3     finnish             boulevard              nauravat silmät muistetaan     20       3
3      4     english      scott fitzgerald                                      go      2     136
4      5     turkish                   mfö                                    sufi     15      37
5      6     spanish  la década prodigiosa  la chica que yo quiero (made in spain)     11      58
6      7       dutch         gerard joling                            shangri - la      9      70
7      8      hebrew         yardena arazi                       ben adam (בן אדם)      7      85
8      9      french           céline dion                  ne partez pas sans moi      1     137
9     10     english          jump the gun                           take him home      8      79
10    11      german   maxi & chris garden                   lied für einen freund     14      48
11    12      german              wilfried                          lisa mona lisa     21       0
12    13      danish              hot eyes                  ka' du se hva' jeg sa'      3      92
13    14       greek        afroditi frida                          clown (κλόουν)     17      10
14    15   norwegian       karoline krüger                            for vår jord      5      88
15    16      french              reynaert               laissez briller le soleil     18       5
16    17      french           lara fabian                                  croire      4      90
17    18     italian       luca barbarossa                        vivo (ti scrivo)     12      52
18    19      french       gérard lenorman                      chanteur de charme     10      64
19    20  portuguese                  dora                                voltarei     18       5
20    21    croatian         srebrna krila                                  mangup      6      87
