                          tour   mens singles  womens singles                    mens doubles                     womens doubles                                      mixed doubles
0        malaysia super series  lee chong wei  tine rasmussen  jung jae - sung lee yong - dae     lee hyo - jung lee kyung - won                       nova widianto lilyana natsir
1      korea open super series     peter gade  tine rasmussen    mathias boe carsten mogensen  cheng wen - hsing chien yu - chin                      lee yong - dae lee hyo - jung
2     all england super series        lin dan      wang yihan              cai yun fu haifeng          zhang yawen zhao tingting                                  he hanbin yu yang
3      swiss open super series  lee chong wei      wang yihan    koo kien keat tan boon heong                    du jing yu yang                                    zheng bo ma jin
4       singapore super series    bao chunlai         zhou mi  anthony clark nathan robertson          zhang yawen zhao tingting                                    zheng bo ma jin
5       indonesia super series  lee chong wei    saina nehwal  jung jae - sung lee yong - dae          chin eei hui wong pei tty                                    zheng bo ma jin
6   china masters super series        lin dan    wang shixian            guo zhendong xu chen                    du jing yu yang                            tao jiaming wang xiaoli
7           japan super series    bao chunlai      wang yihan     markis kido hendra setiawan                 ma jin wang xiaoli  songphon anugritayawon kunchala voravichitchaikul
8         denmark super series  simon santoso  tine rasmussen    koo kien keat tan boon heong                pan pan zhang yawen        joachim fischer nielsen christinna pedersen
9          french super series        lin dan      wang yihan     markis kido hendra setiawan                 ma jin wang xiaoli                       nova widianto lilyana natsir
10      hong kong super series  lee chong wei      wang yihan  jung jae - sung lee yong - dae                 ma jin wang xiaoli               robert mateusiak nadiezda kostiuczyk
11     china open super series        lin dan   jiang yanjiao  jung jae - sung lee yong - dae              tian qing zhang yawen                      lee yong - dae lee hyo - jung
