     rank          nation  gold  silver  bronze  total
0       1           japan     2       1       3      6
1       2           china     2       0       0      2
2       3          france     1       2       1      4
3       4   united states     1       2       0      3
4       5          russia     1       1       1      3
5       6          canada     1       1       0      2
6       7          sweden     1       0       1      1
7       8         austria     0       1       0      1
8       8        bulgaria     0       1       0      1
9      10  chinese taipei     0       0       1      1
10     10         germany     0       0       1      1
11     10          norway     0       0       1      1
12  total           total     9       9       9     27
