         product             2004             2003             2002             2001
0          grain   2289000 tonnes   2377000 tonnes   2360000 tonnes   2455000 tonnes
1         timber    295000 tonnes    391000 tonnes    406000 tonnes    452000 tonnes
2   bulk liquids    774000 tonnes    727000 tonnes    788000 tonnes    707000 tonnes
3     bulk cargo   6051000 tonnes   6296000 tonnes   5572000 tonnes   5026000 tonnes
4   oil terminal  11406000 tonnes  11406000 tonnes  11604000 tonnes  11236000 tonnes
5  general cargo    374000 tonnes    556000 tonnes    468000 tonnes    514000 tonnes
6          total  32171000 tonnes  31753000 tonnes  30564000 tonnes  30501000 tonnes
7     passengers           720000           734000           716000           654000
8     containers           616000           578000           535000           524000
9           roro           513000           476000           502000           533000
