                                    tie no                               home team                                   score                               away team                              attendance
0                                        1                              darlington                                   1 - 1                         manchester city                         4 december 1998
1                                   replay                         manchester city                                   1 - 0                              darlington                        15 december 1998
2                                        2                       preston north end                                   2 - 0                                 walsall                         5 december 1998
3                                        3                                rochdale                                   0 - 0                        rotherham united                         5 december 1998
4                                   replay                        rotherham united                                   4 - 0                                rochdale                        15 december 1998
5                                        4                             yeovil town                                   2 - 0                        northampton town                         5 december 1998
6                                        5                            notts county                                   1 - 1                          wigan athletic                         5 december 1998
7                                   replay                          wigan athletic                                   0 - 0                            notts county                        15 december 1998
8      notts county won 4 - 2 on penalties     notts county won 4 - 2 on penalties     notts county won 4 - 2 on penalties     notts county won 4 - 2 on penalties     notts county won 4 - 2 on penalties
9                                        6                       macclesfield town                                   4 - 1                        cambridge united                         5 december 1998
10                                       7                            lincoln city                                   4 - 1                       stevenage borough                         5 december 1998
11                                       8                              luton town                                   1 - 2                               hull city                         5 december 1998
12                                       9                        doncaster rovers                                   0 - 0                      rushden & diamonds                         5 december 1998
13                                  replay                      rushden & diamonds                                   4 - 2                        doncaster rovers                        15 december 1998
14                                      10                                 wrexham                                   2 - 1                               york city                         5 december 1998
15                                      11                       wycombe wanderers                                   1 - 1                         plymouth argyle                         5 december 1998
16                                  replay                         plymouth argyle                                   3 - 2                       wycombe wanderers                        15 december 1998
17                                      12                                  fulham                                   4 - 2                       hartlepool united                         5 december 1998
18                                      13                         oldham athletic                                   1 - 1                               brentford                         5 december 1998
19                                  replay                               brentford                                   2 - 2                         oldham athletic                        15 december 1998
20  oldham athletic won 4 - 2 on penalties  oldham athletic won 4 - 2 on penalties  oldham athletic won 4 - 2 on penalties  oldham athletic won 4 - 2 on penalties  oldham athletic won 4 - 2 on penalties
21                                      14                             exeter city                                   2 - 2                          bristol rovers                         5 december 1998
22                                  replay                          bristol rovers                                   5 - 0                             exeter city                        15 december 1998
23                                      15                       scunthorpe united                                   2 - 0                     bedlington terriers                         5 december 1998
24                                      16                          mansfield town                                   1 - 2                               southport                         5 december 1998
25                                      17                            cardiff city                                   3 - 1                         hednesford town                         5 december 1998
26                                      18                             kingstonian                                   0 - 0                           leyton orient                         6 december 1998
27                                  replay                           leyton orient                                   2 - 1                             kingstonian                        15 december 1998
28                                      19                          torquay united                                   0 - 1                             bournemouth                         5 december 1998
29                                      20                            swansea city                                   1 - 0                              stoke city                         5 december 1998
