      date       cover model     centerfold model   interview subject      20 questions                                           pictorials
0   1 - 06     lisa guerrero      athena lundberg          mark cuban   kate beckinsale                                        lisa guerrero
1   2 - 06    adrianne curry       cassandra lynn          al franken       hugh laurie                    adrianne curry , girls of tuscany
2   3 - 06      jessica alba         monica leigh          kanye west   franz ferdinand                                           willa ford
3   4 - 06  candice michelle  holley ann dorrough        keanu reeves    craig ferguson              candice michelle , cyber girls in print
4   5 - 06      alison waite         alison waite       ozzie guillãn    rebecca romijn  girls of the top 10 party schools , rachel sterling
5   6 - 06       kara monaco   stephanie larimore       shepard smith         jason lee                pmoy - kara monaco , girls of myspace
6   7 - 06       vida guerra  sara jean underwood   jerry bruckheimer        dana white                                          vida guerra
7   8 - 06      monica leigh          nicole voss         denis leary       luke wilson                 girls of orange county , stacey dash
8  10 - 06     tamara witmer        jordan monroe            ludacris  johnny knoxville                girls of the big 12 , christine dolce
9  11 - 06    mercedes mcnab      sarah elizabeth  arianna huffington       tenacious d            mercedes mcnab , girls of hawaiian tropic
