    pick              player    position     nationality                 nhl team           college / junior / club team
0    183           kaj linna     defence         finland          ottawa senators               boston university (ncaa)
1    184         ray schultz     defence          canada          ottawa senators             tri - city americans (whl)
2    185       igor karpenko  goaltender         ukraine  mighty ducks of anaheim                       kiev ( ukraine )
3    186      joe cardarelli   left wing          canada      tampa bay lightning                   spokane chiefs (whl)
4    187      steven douglas     defence          canada          edmonton oilers            niagara falls thunder (ohl)
5    188      jaroslav obsut     defence        slovakia            winnipeg jets  north battleford north stars ( sjhl )
6    189       fredrik loven      centre          sweden            winnipeg jets                djurgardens if (sweden)
7    190           greg hart  right wing          canada       montreal canadiens                 kamloops blazers (whl)
8    191      milan kostolny  right wing        slovakia         hartford whalers             detroit jr red wings (ohl)
9    192          filip kuba     defence  czech republic         florida panthers          vitkovice hc (czech republic)
10   193  anatoli kovesnikov   left wing         ukraine             dallas stars                         kiev (ukraine)
11   194          ryan kraft      centre   united states          san jose sharks         university of minnesota (ncaa)
12   195        ilja gorohov     defence          russia         new york rangers             yaroslavl torpedo (russia)
13   196        tyler willis  right wing          canada        vancouver canucks            swift current broncos (whl)
14   197         mark murphy   left wing   united states      toronto maple leafs         stratford cullitons ( mwjbhl )
15   198        mike zanutto      centre          canada           buffalo sabres                  oshawa generals (ohl)
16   199    vasili turkovsky     defence          russia      washington capitals                   cska moscow (russia)
17   200      frederic henry  goaltender          canada        new jersey devils                  granby bisons (qmjhl)
18   201     casey hankinson   left wing   united states       chicago blackhawks         university of minnesota (ncaa)
19   202    sergei luchinkin      centre          russia             dallas stars                 moscow dynamo (russia)
20   203       sergei zhukov     defence          russia            boston bruins             yaroslavl torpedo (russia)
21   204     ruslan shafikov      centre          russia      philadelphia flyers               salavat yulajev (russia)
22   205         derek bekar      centre          canada           st louis blues       powell river paper kings (bcjhl)
23   206      sergei voronov     defence          russia      pittsburgh penguins                 moscow dynamo (russia)
24   207       tomi hirvonen      centre         finland       colorado avalanche                    ilves jrs (finland)
