                          year                        date                       venue                      winner                     country                       score                      to par           margin of victory              runner (s) - up            winner 's share 
0   tenerife ladies match play  tenerife ladies match play  tenerife ladies match play  tenerife ladies match play  tenerife ladies match play  tenerife ladies match play  tenerife ladies match play  tenerife ladies match play   tenerife ladies match play  tenerife ladies match play
1                         2011                      12 jun           golf las américas             becky brewerton                       wales                          68                           4                    1 stroke              carlota ciganda                       40000
2                         2011                      12 jun           golf las américas             becky brewerton                       wales                          68                           4                    1 stroke                nikki garrett                       40000
3         tenerife ladies open        tenerife ladies open        tenerife ladies open        tenerife ladies open        tenerife ladies open        tenerife ladies open        tenerife ladies open        tenerife ladies open         tenerife ladies open        tenerife ladies open
4                         2010                       4 jul        buenavista golf club               trish johnson                     england                         274                          14                    1 stroke  virginie lagoutte - clément                       41250
5                         2009                      27 sep            golf costa adeje            felicity johnson                     england                         274                          14                   2 strokes              becky brewerton                       45000
6                         2008                      22 jun            golf costa adeje              rebecca hudson                     england                         278                          10                     playoff           anne - lise caudal                       45000
7                         2007                       6 may       golf del sur tenerife               nikki garrett                   australia                         287                           1                   2 strokes                trish johnson                       41250
8                         2007                       6 may       golf del sur tenerife               nikki garrett                   australia                         287                           1                   2 strokes               tania elosegui                       41250
9                         2006                      30 apr                       abama          riikka hakkarainen                     finland                         288                           e                   2 strokes               tania elosegui                       37500
10                        2005                      10 apr            golf costa adeje             ludivine kreutz                      france                         277                          11                   2 strokes                  miriam nagl                       36300
11                        2004                       2 may        buenavista golf club                  diana luna                       italy                         279                           9                   2 strokes              becky brewerton                       33000
12                        2003                       4 may           golf las américas            elisabeth esterl                     germany                         276                          12                    1 stroke              becky brewerton                       30000
13                        2002                       5 may       golf del sur tenerife             raquel carriedo                       spain                         292                         + 4                    1 stroke                 johanna head                       30000
