    rnd          date                           race name length                               track                      location         type      pole position     winning driver
0     1      march 18                     jimmy bryan 150      -       phoenix international raceway            avondale , arizona         oval       danny ongais    gordon johncock
1     2      march 26                     datsun twin 200      -              ontario motor speedway          ontario , california         oval          tom sneva       danny ongais
2     3      april 15                           coors 200      -                texas world speedway       college station , texas         oval       danny ongais       danny ongais
3     4      april 23                         gabriel 200      -      trenton international speedway          trenton , new jersey         oval          tom sneva    gordon johncock
4     5        may 28  international 500 mile sweepstakes      -         indianapolis motor speedway            speedway , indiana         oval          tom sneva           al unser
5     6       june 11                 molson diamond indy      -                        mosport park          bowmanville , canada  road course       danny ongais       danny ongais
6     7       june 18                    rex mays classic      -  wisconsin state fair park speedway        west allis , wisconsin         oval       danny ongais         rick mears
7     8       june 25                        schaefer 500      -        pocono international raceway      long pond , pennsylvania         oval       danny ongais           al unser
8     9       july 16                     norton twin 200      -     michigan international speedway           brooklyn , michigan         oval          tom sneva  johnny rutherford
9    10       july 23                    gould twin dixie      -       atlanta international raceway             hampton , georgia         oval          tom sneva         rick mears
10   11      august 6                    texas grand prix      -                texas world speedway       college station , texas         oval          tom sneva           a j foyt
11   12     august 20               tony bettenhausen 200      -  wisconsin state fair park speedway        west allis , wisconsin         oval       danny ongais       danny ongais
12   13   september 3                      california 500      -              ontario motor speedway          ontario , california         oval          tom sneva           al unser
13   14  september 16                    gould grand prix      -     michigan international speedway           brooklyn , michigan         oval  johnny rutherford       danny ongais
14   15  september 23                 machinist union 150      -      trenton international speedway          trenton , new jersey         oval           a j foyt     mario andretti
15   16     october 1      daily empress indy silverstone      -                 silverstone circuit  silverstone , united kingdom  road course       danny ongais           a j foyt
16   17     october 7              daily mail indy trophy      -         brands hatch (indy circuit)      fawkham , united kingdom  road course           al unser         rick mears
