   year (ceremony)         film title used in nomination                        original title                director         result
0      1953 (26th)                          genghis khan                          genghis khan            manuel conde  not nominated
1      1956 (29th)                           anak dalita                           anak dalita     lamberto v avellana  not nominated
2      1961 (34th)              the moises padilla story              the moises padilla story         gerardo de león  not nominated
3      1967 (40th)                   because of a flower               dahil sa isang bulaklak         luis nepomuceno  not nominated
4      1976 (49th)  ganito kami noon , paano kayo ngayon  ganito kami noon , paano kayo ngayon            eddie romero  not nominated
5      1984 (57th)                          of the flesh                                karnal    marilou diaz - abaya  not nominated
6      1985 (58th)                            my country           bayan ko : kapit sa patalim             lino brocka  not nominated
7      1995 (68th)                          harvest home           inagaw mo ang lahat sa akin  carlos sigiuon - reyna  not nominated
8      1996 (69th)                             dead sure                             segurista           tikoy aguiluz  not nominated
9      1997 (70th)                              milagros                              milagros    marilou diaz - abaya  not nominated
10     1998 (71st)               in the navel of the sea                     sa pusod ng dagat    marilou diaz - abaya  not nominated
11     1999 (72nd)                              the kite                            saranggola              gil portes  not nominated
12     2000 (73rd)                                  anak                                  anak            rory quintos  not nominated
13     2001 (74th)             in the bosom of the enemy             gatas sa dibdib ng kaaway              gil portes  not nominated
14     2002 (75th)                          small voices                     mga munting tinig              gil portes  not nominated
15     2003 (76th)                            dekada '70                            dekada '70              chito roño  not nominated
16     2004 (77th)                         crying ladies                         crying ladies              mark meily  not nominated
17     2006 (79th)     the blossoming of maximo oliveros    ang pagdadalaga ni maximo oliveros          auraeus solito  not nominated
18     2007 (80th)                                donsol                                donsol        adolfo alix , jr  not nominated
19     2008 (81st)                               ploning                               ploning       dante nico garcia  not nominated
20     2009 (82nd)                   grandfather is dead                        ded na si lolo           soxie topacio  not nominated
21     2010 (83rd)                                   noy                                   noy           dondon santos  not nominated
22     2011 (84th)          the woman in the septic tank              ang babae sa septic tank           marlon rivera  not nominated
23     2012 (85th)                                bwakaw                                bwakaw         jun robles lana  not nominated
