    round                player     nationality                            nhl team      college / junior / club team (league)
0       1     libor polasek (c)  czechoslovakia                   vancouver canucks                     vitkovice ssk ( csfr )
1       2         mike peca (c)          canada    vancouver canucks (from boston )                       ottawa 67 's ( ohl )
2       2     mike fountain (g)          canada                   vancouver canucks                      oshawa generals (ohl)
3       3     jeff connolly (c)   united states                   vancouver canucks  st sebastien high school (us high school)
4       4       brent tully (d)          canada                   vancouver canucks                   peterborough petes (ohl)
5       5      brian loney (rw)          canada  vancouver canucks (from st louis )             ohio state university ( ncaa )
6       5     adrian aucoin (d)          canada                   vancouver canucks                   boston university (ncaa)
7       6  jason clark (c / lw)          canada                   vancouver canucks                            st thomas jr b 
8       7     scott hollis (rw)          canada                   vancouver canucks                      oshawa generals (ohl)
9       9    sonny mignacca (g)          canada                   vancouver canucks                medicine hat tigers ( whl )
10     10       mark wotton (d)          canada                   vancouver canucks                     saskatoon blades (whl)
11     11         aaron boh (d)          canada                   vancouver canucks                       spokane chiefs (whl)
