    rank          nation  gold  silver  bronze  total
0      1            iran     9       4       2     15
1      2     south korea     2       1       0      3
2      3      kazakhstan     1       3       2      6
3      4           qatar     1       2       2      5
4      5           china     1       1       4      6
5      6    saudi arabia     0       2       0      2
6      7           japan     0       1       2      3
7      8  chinese taipei     0       0       1      1
8      8       indonesia     0       0       1      1
9  total           total    14      14      14     42
