    no                         title     directed by                                          written by    original air date production code  us viewers (million)
0    1                         pilot   james burrows                             shana goldberg - meehan  september 22 , 2010          296777                  7.97
1    2         better with firehouse    john pasquin                              lon zimmet & dan rubin  september 29 , 2010          2j5805                  6.99
2    3               better with ben     andy cadiff                            kat likkel & john hoberg     october 6 , 2010          2j5804                  6.87
3    4          better with fighting     andy cadiff                             shana goldberg - meehan    october 13 , 2010          2j5802                  6.38
4    5      better with little buddy     andy cadiff                                         greg malins    october 20 , 2010          2j5806                  6.83
5    6         better with halloween    john pasquin                                     mathew harawitz    october 27 , 2010          2j5807                  7.67
6    7         better with road joel  shelley jensen                                  zachary rosenblatt    november 3 , 2010          2j5808                  7.73
7    8          better with flirting  shelley jensen                                         greg malins   november 17 , 2010          2j5811                  7.11
8    9      better with thanksgiving  gary halvorson                                          adam chase   november 24 , 2010          2j5809                  6.85
9   10    better with christmas crap  gary halvorson                        margee magee & angeli millan    december 8 , 2010          2j5810                  7.15
10  11      better with skinny jeans    rob schiller                            kat likkel & john hoberg     january 5 , 2011          2j5813                  7.44
11  12             better with a cat  shelley jensen                                   christopher luccy    january 19 , 2011          2j5812                  6.37
12  13  better with valentine 's day  gary halvorson               greg malins & shana goldberg - meehan    february 9 , 2011          2j5816                  6.80
13  14  better with a leather jacket  gary halvorson                             eve weston & dan holden   february 16 , 2011          2j5815                  5.86
14  15        better with a shamrock  gary halvorson                              lon zimmet & dan rubin   february 23 , 2011          2j5817                  5.73
15  17          better without a job  gary halvorson               shana goldberg - meehan & greg malins      april 13 , 2011          2j5820                  4.85
16  18             better with lying     andy cadiff                                         greg malins      april 20 , 2011          2j5803                  5.25
17  19           better with dancing  gary halvorson  teleplay : christopher luccy story by : eve weston      april 25 , 2011          2j5818                 11.23
18  20            better with crying  gary halvorson                                     mathew harawitz      april 27 , 2011          2j5819                  4.65
