                             title      other performer (s)                 director (s)                              album  year
0                    pon de replay                    n / a                     little x                   music of the sun  2005
1    if it 's lovin' that you want                    n / a                 marcus raboy                   music of the sun  2005
2                              sos                    n / a              chris applebaum                     a girl like me  2006
3                       unfaithful                    n / a              anthony mandler                     a girl like me  2006
4                          we ride                    n / a              anthony mandler                     a girl like me  2006
5                         umbrella                  jay - z              chris applebaum                 good girl gone bad  2007
6                shut up and drive                    n / a              anthony mandler                 good girl gone bad  2007
7             hate that i love you   ne - yo / david bisbal              anthony mandler                 good girl gone bad  2007
8             don't stop the music                    n / a              anthony mandler                 good girl gone bad  2007
9                       take a bow                    n / a              anthony mandler      good girl gone bad : reloaded  2008
10  if i never see your face again                 maroon 5              anthony mandler      good girl gone bad : reloaded  2008
11                       disturbia                    n / a              anthony mandler      good girl gone bad : reloaded  2008
12                           rehab                    n / a              anthony mandler                 good girl gone bad  2008
13                  live your life                       ti              anthony mandler                        paper trail  2008
14                   run this town   jay - z and kanye west              anthony mandler                    the blueprint 3  2009
15                  wait your turn                    n / a              anthony mandler                            rated r  2009
16                russian roulette                    n / a              anthony mandler                            rated r  2009
17                            hard              young jeezy             melina matsoukas                            rated r  2009
18                      shy ronnie        the lonely island               akiva schaffer                              n / a  2009
19                        rude boy                    n / a             melina matsoukas                            rated r  2010
20                    rockstar 101                    slash             melina matsoukas                            rated r  2010
21                          te amo                    n / a              anthony mandler                            rated r  2010
22            love the way you lie                   eminem                  joseph kahn                           recovery  2010
23               who 's that chick             david guetta              jonas ã…kerlund                      one more love  2010
24        only girl (in the world)                    n / a              anthony mandler                               loud  2010
25    shy ronnie 2: ronnie & clyde        the lonely island               akiva schaffer                 turtleneck & chain  2010
26                 what 's my name                    drake              philip andelman                               loud  2010
27                             s&m                    n / a             melina matsoukas                               loud  2011
28               all of the lights  kanye west and kid cudi                hype williams  my beautiful dark twisted fantasy  2011
29             california king bed                    n / a              anthony mandler                               loud  2011
30                        man down                    n / a              anthony mandler                               loud  2011
31          cheers (drink to that)                    n / a  evan rogers and ciara pardo                               loud  2011
32                             fly              nicki minaj                  sanaa hamri                        pink friday  2011
33                   we found love            calvin harris             melina matsoukas                     talk that talk  2011
34                      you da one                    n / a             melina matsoukas                     talk that talk  2011
35                       take care                    drake                yoann lemoine                          take care  2012
36             where have you been                    n / a                  dave meyers                     talk that talk  2012
37               princess of china                 coldplay   adria petty and alan bibby                        mylo xyloto  2012
38                        diamonds                    n / a              anthony mandler                       unapologetic  2012
39                            stay               mikky ekko                sophie muller                       unapologetic  2013
40                      pour it up                    n / a                  robyn fenty                       unapologetic  2013
41                        what now                    n / a                      unknown                       unapologetic  2013
