                 team     location                   venue  capacity  position in 2003
0               gomel        gomel         central , gomel     11800                 1
1                bate      borisov  city stadium , borisov      5500                 2
2        dinamo minsk        minsk          dinamo , minsk     41040                 3
3       torpedo - ska        minsk         torpedo , minsk      5200                 4
4           shakhtyor    soligorsk                stroitel      5000                 5
5             torpedo      zhodino       torpedo , zhodino      3020                 6
6               neman       grodno                   neman      6300                 7
7              naftan  novopolotsk                  atlant      6500                 8
8   dnepr - transmash      mogilev       spartak , mogilev     11200                 9
9            belshina     bobruisk      spartak , bobruisk      3550                10
10       dinamo brest        brest           osk brestskiy     10080                11
11  zvezda - va - bgu        minsk                 traktor     17600                12
12             darida  minsk raion                  darida      6000                13
13             slavia        mozyr                  yunost      5500                14
14          lokomotiv      vitebsk       central , vitebsk      8300  first league , 1
15         mtz - ripo        minsk                 traktor     17600  first league , 2
