    rank                           station           city                 state  boardings and deboardings
0      1                      penn station  new york city              new york                    8995551
1      2                     union station     washington  district of columbia                    4850685
2      3               30th street station   philadelphia          pennsylvania                    3872392
3      4                     union station        chicago              illinois                    3393695
4      5                     union station    los angeles            california                    1606121
5      6                     south station         boston         massachusetts                    1360162
6      7         sacramento valley station     sacramento            california                    1175046
7      8                      penn station      baltimore              maryland                     953170
8      9          albanyrensselaer station     rensselaer              new york                     769626
9     10                     union station      san diego            california                     753739
10    11                     union station      new haven           connecticut                     740902
11    12                wilmington station     wilmington              delaware                     717772
12    14               king street station        seattle            washington                     672485
13    15                     union station       portland                oregon                     665677
14    13                      penn station         newark            new jersey                     683626
15    17               bwi airport station      linthicum              maryland                     662453
16    16                    irvine station         irvine            california                     664263
17    18                providence station     providence          rhode island                     625995
18    19      milwaukee intermodal station      milwaukee             wisconsin                     617800
19    21  harrisburg transportation center     harrisburg          pennsylvania                     543423
20    20                emeryville station     emeryville            california                     583865
21    22                 lancaster station      lancaster          pennsylvania                     539338
22    23                          back bay         boston         massachusetts                     479951
23    24                       bakersfield    bakersfield            california                     476767
24    25                     north station         boston         massachusetts                     456198
