   place                 team  played  draw  lost  goals scored  goals conceded  points
0      1          árabe unido      36     5     5            63              30      83
1      2                tauro      36     6     9            61              22      73
2      3        san francisco      36     7     9            70              31      67
3      4         el chorrillo      36    10     7            58              51      67
4      5         plaza amador      35     8     9            59              33      62
5      6              alianza      36     6    18            38              53      42
6      7  atlético veragüense      35     7    18            38              52      37
7      8       sporting coclé      36     9    18            42              60      36
8      9          colón river      36     7    22            41              78      32
9     10        pan de azúcar      36     7    28            22              92      10
