    year  stage  category                   start                   finish          leader at the summit
0   2013      9         1          saint - girons  bagnères - de - bigorre         tom danielson ( usa )
1   2012     17         1  bagnères - de - luchon               peyragudes       thomas voeckler ( fra )
2   2007     15         1                    foix             loudenvielle    juan manuel gárate ( esp )
3   2005     15         1      lézat - sur - lèze               pla d'adet           erik dekker ( ned )
4   2003     14         1          saint - girons             loudenvielle      richard virenque ( fra )
5   2001     13         1                    foix               pla d'adet      laurent jalabert ( fra )
6   1999     15         1         saint - gaudens            piau - engaly          alberto elli ( ita )
7   1998     11         1  bagnères - de - luchon        plateau de beille          alberto elli ( ita )
8   1995     15         1          saint - girons                cauterets      richard virenque ( fra )
9   1988     15         1          saint - girons              luz ardiden         robert millar ( gbr )
10  1979      1         2               fleurance   bagnères - de - luchon       bernard hinault ( fra )
11  1976     14         2         saint - gaudens    saint - lary - soulan       lucien van impe ( bel )
12  1973     13         2          bourg - madame   bagnères - de - luchon  josé - manuel fuente ( esp )
13  1971     14         2                   revel   bagnères - de - luchon  josé - manuel fuente ( esp )
14  1970     18         2         saint - gaudens                la mongie      guerrino tosello ( ita )
15  1969     16         2           castelnaudary   bagnères - de - luchon       raymond delisle ( fra )
16  1967     16         1                toulouse   bagnères - de - luchon   fernando manzanèque ( esp )
17  1966     11         2                     pau   bagnères - de - luchon        joaquim galera ( esp )
