                      name          platform      license                 windows builders       java builders                        other builders                                        scm system                            notification          ide integration                          other integration
0              apache gump            python   apache 2.0                          unknown       ant , maven 1                               unknown                                  cvs , subversion                                e - mail                  unknown                                    unknown
1              appveyor ci            hosted  proprietary  visual studio , msbuild , psake                  no            custom script , powershell                                   git , mercurial                                e - mail                     none  github , bitbucket , kiln , windows azure
2                   autode            python  proprietary          msbuild , visual studio   ant , maven 1 & 2  yes (common command - line builders)                cvs , git , mercurial , subversion                                e - mail        none (standalone)                                    unknown
3                    cabie              lamp         gpl2                          unknown             unknown                               unknown                       cvs , subversion , perforce                                     web                  unknown                                    unknown
4                 circleci            hosted  proprietary                          unknown             unknown   ruby , python , nodejs , php , java                                               git  e - mail , campfire , hipchat , cctray                  unknown                            heroku , github
5                 draconet           windows  bsd - style             nant , visual studio             unknown                               unknown      cvs , visual source safe , pvcs , subversion                                e - mail                  unknown                                    unknown
6                  easycis           windows  proprietary   msbuild , nant , visual studio             unknown                               unknown  git , mercurial , subversion , tfs , file system                systray , rss , e - mail                     none                                       none
7                       go  cross - platform  proprietary                              yes                 yes       cross - platform command - line     subversion , perforce , mercurial , git , tfs                       e - mail , cctray                     none                                restful api
8                integrity              ruby          mit               yes (command line)  yes (command line)                          command line                                               git                          e - mail , web                  unknown                                    unknown
9   team foundation server    windows , vstm  proprietary                          msbuild         ant , maven          custom script , command line                            team foundation server                         e - mail , soap  visual studio , eclipse                                    unknown
10               tinderbox  cross - platform          mpl                          unknown             unknown                               unknown                                           unknown                                e - mail                  unknown                                    unknown
