   bow number              ship name          launched   commissioned                       service
0     ps - 18         brp datu tupas  14 november 1943  november 1975  philippine navy patrol force
1     ps - 19      brp miguel malvar      1 march 1944  november 1975  philippine navy patrol force
2     ps - 20      brp magat salamat     19 march 1944  november 1975  philippine navy patrol force
3     ps - 22     brp sultan kudarat       18 may 1943  november 1975  philippine navy patrol force
4     ps - 23      brp datu marikudo     18 march 1944   5 april 1976  philippine navy patrol force
5     ps - 28               brp cebu  10 november 1943      july 1948  philippine navy patrol force
6     ps - 29  brp negros occidental  24 february 1944      july 1948  philippine navy patrol force
7     ps - 30              rps leyte      20 june 1944      july 1948  philippine navy patrol force
8     ps - 31         brp pangasinan     24 april 1943      july 1948  philippine navy patrol force
9     ps - 32             brp iloilo     3 august 1943      july 1948  philippine navy patrol force
10    ps - 33              rps samar  20 november 1943    24 may 1948  philippine navy patrol force
