   year                entrant                chassis                 engine  points
0  1956       scuderia ferrari   lancia - ferrari d50             ferrari v8       0
1  1957       scuderia ferrari  lancia - ferrari d50a             ferrari v8       4
2  1957       scuderia ferrari            ferrari 801             ferrari v8       4
3  1958       scuderia ferrari       ferrari dino 246             ferrari v6       9
4  1959  dr ing hcf porsche kg         porsche 718 f2       porsche flat - 4       0
5  1959       scuderia ferrari       ferrari dino 246             ferrari v6       0
6  1960       scuderia ferrari       ferrari dino 246             ferrari v6      10
7  1960       scuderia ferrari        ferrari 246p f2             ferrari v6      10
8  1960    scuderia centro sud             cooper t51  maserati straight - 4      10
9  1961       scuderia ferrari            ferrari 156             ferrari v6      33
