          township       county  pop (2010)  land ( sqmi )  water (sqmi)   latitude     longitude      geo id  ansi code
0        fairbanks     renville          37         35.720         0.267  48.770854  - 101.944925  3807525140    1759605
1        fairfield  grand forks         117         35.506         0.028  47.802659   - 97.300658  3803525260    1036595
2        fairmount     richland          90         40.885         0.000  46.023972   - 96.602143  3807725340    1036817
3         fairview     sheridan           6         34.984         0.196  47.619787  - 100.061654  3808325420    1037150
4        fairville        wells          35         35.357         0.035  47.623788   - 99.319445  3810325500    1759699
5         falconer  grand forks         304         12.373         0.136  47.984060   - 97.077114  3803525540    1036601
6           falsen      mchenry          20         35.849         0.082  48.156073  - 100.678258  3804925620    1759490
7          fancher       ramsey          51         35.236         0.501  48.412962   - 98.514478  3807125660    1759572
8            fargo         cass           4          0.099         0.000  46.943881   - 96.794706  3801725740    2397799
9           farina    hettinger          18         36.273         0.194  46.415571  - 102.510459  3804125780    1759454
10      farmington        walsh         176         36.298         0.000  48.499500   - 97.469800  3809925860    1036545
11        farmvale     williams          37         35.830         0.040  48.245979  - 103.017418  3810525900    1037023
12             fay        burke          21         35.854         0.040  48.847892  - 102.730006  3801325940    1759320
13          felson      pembina          86         44.824         0.000  48.945971   - 97.622116  3806725980    1036737
14           ferry  grand forks         359         45.986         0.190  48.059133   - 97.176811  3803526020    1036616
15         fertile    mountrail          68         35.795         0.011  47.884344  - 102.169646  3806126060    1037016
16         fertile        walsh         250         36.105         0.000  48.412673   - 97.600974  3809926100    1036536
17  fertile valley       divide          23         64.694         4.210  48.670099  - 103.917608  3802326140    1036924
18           field       nelson          44         35.874         0.086  47.795572   - 98.064626  3806326220    1036563
19        fillmore       divide          35         40.858         1.153  48.945165  - 103.257244  3802326340    1759389
20          finley       steele          52         32.389         0.076  47.540155   - 97.782330  3809126460    1036673
21            finn        logan          16         33.805         0.837  46.589964   - 99.103020  3804726500    1037201
22       fischbein       bowman          15         35.112         0.296  46.162279  - 103.036535  3801126540    1037240
23          fisher        grant          16         32.939         0.053  46.245642  - 101.685440  3803726580    1759438
24           flint     stutsman          40         32.887         2.635  46.949140   - 99.235948  3809326740    1036476
25        florance       foster          32         34.734         1.156  47.536802   - 98.681563  3803126820    1759423
26   florence lake     burleigh           9         32.101         2.855  47.279227  - 100.293696  3801526860    1037146
27       foothills        burke          21         35.180         0.802  48.761614  - 102.602275  3801326940    1037102
28           forde       nelson          34         35.351         0.635  47.723052   - 98.468818  3806327020    1036561
29    forest river        walsh          63         35.654         0.000  48.238638   - 97.448458  3809927140    1036517
30          forman      sargent          48         35.323         0.000  46.065776   - 97.696366  3808127300    1036795
31     fort ransom       ransom          96         35.461         0.022  46.492226   - 97.961959  3807327620    1036878
32         forthun        burke          11         43.221         0.059  48.945558  - 102.869671  3801327460    1759321
33         forward        wells          80         35.571         0.492  47.716087   - 99.875901  3810327900    1759700
34         foxholm         ward         121         36.371         0.001  48.335356  - 101.586138  3810128020    1036944
35            fram        wells          58         35.971         0.025  47.805447   - 99.720077  3810328060    1759701
36         francis     burleigh          26         35.833         0.000  46.938859  - 100.518334  3801528100    1759337
37        franklin       steele          41         35.842         0.148  47.535954   - 97.910401  3809128140    1036675
38         frazier       divide          22         35.055         0.990  48.771185  - 103.246018  3802328220    1037013
39           freda        grant          10         35.916         0.040  46.311244  - 101.083890  3803728300    1037081
40       frederick       divide          18         35.774         0.122  48.683979  - 103.331090  3802328340    1759390
41        freeborn         eddy         102         36.058         0.326  47.799708   - 98.618657  3802728420    1759404
42         freedom         ward         135         35.417         0.633  48.063698  - 101.333576  3810128460    1037121
43         freeman     richland          40         35.877         0.000  46.412920   - 97.217810  3807728500    1036851
44         fremont     cavalier          55         55.407         0.070  48.957096   - 98.026713  3801928540    1759359
45      freshwater       ramsey          75         27.717         8.275  48.247198   - 98.875897  3807128580    1759573
46         frettim       kidder           9         33.267         2.562  47.194131   - 99.686959  3804328620    1759472
47           fried     stutsman         155         35.328         0.667  47.019878   - 98.645603  3809328700    1036481
