    round  pick            player          position            school
0       1     6      james lofton     wide receiver          stanford
1       2    34      michael hunt        linebacker         minnesota
2       3    62        estus hood    defensive back    illinois state
3       5   116     mike douglass        linebacker   san diego state
4       5   128     willie wilder      running back           florida
5       6   144     leotis harris             guard          arkansas
6       7   172  george plasketes        linebacker          ole miss
7       8   200     dennis sproul       quarterback     arizona state
8       9   228       keith myers       quarterback        utah state
9      10   256         larry key      running back     florida state
10     10   259       mark totten            center           florida
11     11   284       terry jones  defensive tackle           alabama
12     12   312      eason ramson         tight end  washington state
