    rank                    stadium  capacity                                club             region
0      1  lobanovsky dynamo stadium     16873                  fc dynamo - 2 kyiv               kiev
1      2                   mcs rukh     16000  fsc prykarpattya ivano - frankivsk  ivano - frankivsk
2      3                illychivets     12680             fc illichivets mariupol            donetsk
3      4              youri haharyn     12000                  fc desna chernihiv          chernihiv
4      5                    csk zsu     12000                           csca kyiv               kiev
5      6                   avanhard     11574                      fc volyn lutsk              lutsk
6      7                    central     10321                  fc dnipro cherkasy           cherkasy
7      8                       stal      9200                    fc stal alchevsk            luhansk
8      9              sk sevastopol      6500                      pfc sevastopol             crimea
9     10                     dynamo      6000                   fc helios kharkiv            kharkiv
10    11                   ksc nika      5640                     pfc oleksandria         kirovohrad
11    12                    fiolent      5000           fc ihroservice simferopol             crimea
12    13          enerhetyk stadium      4000               fc enerhetyk burshtyn  ivano - frankivsk
13    14              kniazha arena      3220                             fc lviv               lviv
14    15          stc krymteplitsia      3000         fc krymteplitsia molodizhne             crimea
15    16                   metalurh      2900            fc stal dniprodzerzhynsk     dnipropetrovsk
16    17       central city stadium      1500                        mfk mykolaiv           mykolaiv
17    18     dukov dniester stadium      1500               fc dniester ovidiopol             odessa
18    19                     obolon      4300                      fc obolon kyiv               kiev
19    20                   kalinino      1050    fc feniks - illichovets kalinine             crimea
