    pick              player    position    nationality                 nhl team              college / junior / club team
0     85          al simmons     defence         canada  california golden seals                      winnipeg jets (wchl)
1     86        jim nahrgang     defence         canada        detroit red wings  michigan technological university (wcha)
2     87          bill green     defence  united states        vancouver canucks           university of notre dame (ncaa)
3     88        doug elliott     defence         canada      pittsburgh penguins                 harvard university (ecac)
4     89       peter harasym   left wing         canada        los angeles kings                clarkson university (ecac)
5     90           norm dube   left wing         canada        los angeles kings                sherbrooke castors (qmjhl)
6     91         bruce abbey     defence         canada    minnesota north stars                  peterborough petes (oha)
7     92        bobby gerard  right wing         canada      philadelphia flyers                        regina pats (wchl)
8     93        dale smedsmo   left wing  united states      toronto maple leafs           bemidji state university (wcha)
9     94          dave smith     defence         canada           st louis blues                        regina pats (wchl)
10    95      peter sullivan      centre         canada       montreal canadiens                     oshawa generals (oha)
11    96         doug keeler      centre         canada         new york rangers                        ottawa 67 's (oha)
12    97  jean - denis royal     defence         canada         new york rangers          saint - jérôme alouettes (qmjhl)
13    98       steve johnson     defence         canada      toronto maple leafs                verdun maple leafs (qmjhl)
